"Sex","year","age","px"
"Male",1950,0,0.82999552
"Male",1950,1,0.963052
"Male",1950,2,0.9666646
"Male",1950,3,0.97009534
"Male",1950,4,0.97350134
"Male",1950,5,0.97693194
"Male",1950,6,0.98030067
"Male",1950,7,0.98349233
"Male",1950,8,0.98639169
"Male",1950,9,0.98888353
"Male",1950,10,0.99085334
"Male",1950,11,0.99222141
"Male",1950,12,0.99308757
"Male",1950,13,0.99354113
"Male",1950,14,0.99369279
"Male",1950,15,0.99362838
"Male",1950,16,0.99343881
"Male",1950,17,0.99321405
"Male",1950,18,0.99300875
"Male",1950,19,0.99286071
"Male",1950,20,0.99275974
"Male",1950,21,0.99267556
"Male",1950,22,0.99257655
"Male",1950,23,0.99243253
"Male",1950,24,0.9922354
"Male",1950,25,0.99198835
"Male",1950,26,0.9917056
"Male",1950,27,0.99140827
"Male",1950,28,0.99111018
"Male",1950,29,0.99082006
"Male",1950,30,0.99053609
"Male",1950,31,0.99024842
"Male",1950,32,0.98994373
"Male",1950,33,0.98960568
"Male",1950,34,0.98921786
"Male",1950,35,0.98876367
"Male",1950,36,0.98823266
"Male",1950,37,0.98762137
"Male",1950,38,0.98694408
"Male",1950,39,0.98623698
"Male",1950,40,0.98555133
"Male",1950,41,0.98495304
"Male",1950,42,0.98447549
"Male",1950,43,0.98410168
"Male",1950,44,0.98375821
"Male",1950,45,0.98330036
"Male",1950,46,0.9825887
"Male",1950,47,0.98149748
"Male",1950,48,0.97996486
"Male",1950,49,0.97808285
"Male",1950,50,0.97605202
"Male",1950,51,0.97425064
"Male",1950,52,0.97301389
"Male",1950,53,0.97238034
"Male",1950,54,0.97214015
"Male",1950,55,0.97167922
"Male",1950,56,0.97036029
"Male",1950,57,0.96759526
"Male",1950,58,0.96278633
"Male",1950,59,0.95584668
"Male",1950,60,0.94713855
"Male",1950,61,0.93824929
"Male",1950,62,0.93164655
"Male",1950,63,0.92892723
"Male",1950,64,0.93051081
"Male",1950,65,0.9346527
"Male",1950,66,0.93925631
"Male",1950,67,0.94282497
"Male",1950,68,0.94437875
"Male",1950,69,0.94371672
"Male",1950,70,0.94073354
"Male",1950,71,0.93554033
"Male",1950,72,0.92832594
"Male",1950,73,0.91936038
"Male",1950,74,0.90911365
"Male",1950,75,0.90175141
"Male",1950,76,0.89382588
"Male",1950,77,0.8852995
"Male",1950,78,0.8761331
"Male",1950,79,0.86628602
"Male",1950,80,0.85571622
"Male",1950,81,0.84438047
"Male",1950,82,0.83223452
"Male",1950,83,0.81923337
"Male",1950,84,0.8053316
"Male",1950,85,0.79048371
"Male",1950,86,0.77464454
"Male",1950,87,0.76177999
"Male",1950,88,0.74874193
"Male",1950,89,0.73525302
"Male",1950,90,0.72090991
"Male",1950,91,0.70540092
"Male",1950,92,0.68860886
"Male",1950,93,0.67068307
"Male",1950,94,0.65222503
"Male",1950,95,0.63900653
"Male",1950,96,0.62334089
"Male",1950,97,0.60786753
"Male",1950,98,0.59265137
"Male",1950,99,0.5777529
"Male",1950,100,0
"Male",1951,0,0.83144542
"Male",1951,1,0.96368797
"Male",1951,2,0.96735641
"Male",1951,3,0.97081504
"Male",1951,4,0.97421439
"Male",1951,5,0.97764521
"Male",1951,6,0.98101941
"Male",1951,7,0.98420524
"Male",1951,8,0.98707096
"Male",1951,9,0.98948484
"Male",1951,10,0.9913162
"Male",1951,11,0.9925817
"Male",1951,12,0.99337421
"Male",1951,13,0.99377565
"Male",1951,14,0.99388906
