"Sex","year","age","px"
"Male",1950,0,0.89891091
"Male",1950,1,0.98003953
"Male",1950,2,0.98725897
"Male",1950,3,0.9917858
"Male",1950,4,0.99458395
"Male",1950,5,0.99629901
"Male",1950,6,0.99734556
"Male",1950,7,0.99798028
"Male",1950,8,0.99836337
"Male",1950,9,0.99858607
"Male",1950,10,0.99870264
"Male",1950,11,0.99874273
"Male",1950,12,0.99872312
"Male",1950,13,0.99865271
"Male",1950,14,0.99853749
"Male",1950,15,0.99838326
"Male",1950,16,0.99819775
"Male",1950,17,0.99799287
"Male",1950,18,0.99778121
"Male",1950,19,0.99757714
"Male",1950,20,0.99739074
"Male",1950,21,0.9972284
"Male",1950,22,0.99709106
"Male",1950,23,0.99697509
"Male",1950,24,0.99687237
"Male",1950,25,0.9967716
"Male",1950,26,0.99666181
"Male",1950,27,0.99653247
"Male",1950,28,0.99637986
"Male",1950,29,0.99620637
"Male",1950,30,0.99602068
"Male",1950,31,0.99583756
"Male",1950,32,0.99566394
"Male",1950,33,0.99549698
"Male",1950,34,0.99531673
"Male",1950,35,0.99508328
"Male",1950,36,0.99475253
"Male",1950,37,0.99427361
"Male",1950,38,0.99360846
"Male",1950,39,0.99274993
"Male",1950,40,0.99172647
"Male",1950,41,0.99063913
"Male",1950,42,0.98960877
"Male",1950,43,0.98872415
"Male",1950,44,0.98800338
"Male",1950,45,0.98731868
"Male",1950,46,0.98649643
"Male",1950,47,0.9853286
"Male",1950,48,0.98361787
"Male",1950,49,0.98128103
"Male",1950,50,0.97830104
"Male",1950,51,0.97487532
"Male",1950,52,0.97131527
"Male",1950,53,0.96782526
"Male",1950,54,0.96447177
"Male",1950,55,0.96082512
"Male",1950,56,0.95622366
"Male",1950,57,0.94996045
"Male",1950,58,0.94130408
"Male",1950,59,0.93041053
"Male",1950,60,0.91829817
"Male",1950,61,0.90739554
"Male",1950,62,0.90086927
"Male",1950,63,0.89989129
"Male",1950,64,0.9038718
"Male",1950,65,0.90998725
"Male",1950,66,0.91530647
"Male",1950,67,0.91816083
"Male",1950,68,0.9174504
"Male",1950,69,0.91310643
"Male",1950,70,0.90532708
"Male",1950,71,0.89473326
"Male",1950,72,0.88245809
"Male",1950,73,0.86951877
"Male",1950,74,0.85690853
"Male",1950,75,0.84510089
"Male",1950,76,0.83408066
"Male",1950,77,0.82363874
"Male",1950,78,0.81340935
"Male",1950,79,0.80310935
"Male",1950,80,0.79254104
"Male",1950,81,0.78159053
"Male",1950,82,0.77022926
"Male",1950,83,0.75848336
"Male",1950,84,0.74643741
"Male",1950,85,0.73420027
"Male",1950,86,0.72190256
"Male",1950,87,0.70961986
"Male",1950,88,0.6973494
"Male",1950,89,0.68502722
"Male",1950,90,0.67251362
"Male",1950,91,0.65972676
"Male",1950,92,0.64669212
"Male",1950,93,0.63356907
"Male",1950,94,0.62072534
"Male",1950,95,0.60898169
"Male",1950,96,0.59675823
"Male",1950,97,0.58472833
"Male",1950,98,0.57292138
"Male",1950,99,0.56136446
"Male",1950,100,0
"Male",1951,0,0.90819871
"Male",1951,1,0.98368946
"Male",1951,2,0.98925367
"Male",1951,3,0.99285594
"Male",1951,4,0.99515493
"Male",1951,5,0.99660798
"Male",1951,6,0.99751993
"Male",1951,7,0.99808717
"Male",1951,8,0.99843689
"Male",1951,9,0.99864396
"Male",1951,10,0.99875397
"Male",1951,11,0.99879212
"Male",1951,12,0.99877286
"Male",1951,13,0.99870349
"Male",1951,14,0.99858932
"Male",1951,15,0.99843573
"Male",1951,16,0.99825077
"Male",1951,17,0.99804723
"Male",1951,18,0.9978385
"Male",1951,19,0.99763957
"Male",1951,20,0.99746019
"Male",1951,21,0.99730554
"Male",1951,22,0.99717536
"Male",1951,23,0.99706496
"Male",1951,24,0.9969662
"Male",1951,25,0.99686857
"Male",1951,26,0.99676225
"Male",1951,27,0.99663817
"Male",1951,28,0.99649329
"Male",1951,29,0.99633
"Male",1951,30,0.99615611
"Male",1951,31,0.99598461
"Male",1951,32,0.99582105
"Male",1951,33,0.9956618
"Male",1951,34,0.99548759
"Male",1951,35,0.99526075
"Male",1951,36,0.99493976
"Male",1951,37,0.9944768
"Male",1951,38,0.99383594
"Male",1951,39,0.99301017
"Male",1951,40,0.9920258
"Male",1951,41,0.99097699
"Male",1951,42,0.98997651
"Male",1951,43,0.9891076
"Male",1951,44,0.9883878
"Male",1951,45,0.98769733
"Male",1951,46,0.98687194
"Male",1951,47,0.98571312
"Male",1951,48,0.98403126
"Male",1951,49,0.98174481
"Male",1951,50,0.97883537
"Male",1951,51,0.97548914
"Male",1951,52,0.97200142
"Male",1951,53,0.96856735
"Male",1951,54,0.96525224
"Male",1951,55,0.96164843
"Male",1951,56,0.95712533
"Male",1951,57,0.95100737
"Male",1951,58,0.94259753
"Male",1951,59,0.93204762
"Male",1951,60,0.92032911
"Male",1951,61,0.90975174
"Male",1951,62,0.90332826
"Male",1951,63,0.90219271
"Male",1951,64,0.9058162
"Male",1951,65,0.91152431
"Male",1951,66,0.9165083
"Male",1951,67,0.91914071
"Male",1951,68,0.91833196
"Male",1951,69,0.91399349
"Male",1951,70,0.90630174
"Male",1951,71,0.89584957
"Male",1951,72,0.88372738
"Male",1951,73,0.87091705
"Male",1951,74,0.85838283
"Male",1951,75,0.84659259
"Male",1951,76,0.83554639
"Male",1951,77,0.82505274
"Male",1951,78,0.81476345
"Male",1951,79,0.8044022
"Male",1951,80,0.79376829
"Male",1951,81,0.78274159
"Male",1951,82,0.7712848
"Male",1951,83,0.75942105
"Male",1951,84,0.74723869
"Male",1951,85,0.7348543
"Male",1951,86,0.72241021
"Male",1951,87,0.7099879
"Male",1951,88,0.69758183
"Male",1951,89,0.68511784
"Male",1951,90,0.67243666
"Male",1951,91,0.65944302
"Male",1951,92,0.64616079
