Location,Sex,year,age,px,fx
Colombia,Female,1950,0,0.88113476,0
Colombia,Female,1950,1,0.96897023,0
Colombia,Female,1950,2,0.97885698,0
Colombia,Female,1950,3,0.98536387,0
Colombia,Female,1950,4,0.98963773,0
Colombia,Female,1950,5,0.99255198,0
Colombia,Female,1950,6,0.99446515,0
Colombia,Female,1950,7,0.99561952,0
Colombia,Female,1950,8,0.99625728,0
Colombia,Female,1950,9,0.9966061,0
Colombia,Female,1950,10,0.99688966,0
Colombia,Female,1950,11,0.99701436,0
Colombia,Female,1950,12,0.99700442,0
Colombia,Female,1950,13,0.99689136,0
Colombia,Female,1950,14,0.99670888,0
Colombia,Female,1950,15,0.99647528,0.035027
Colombia,Female,1950,16,0.99621224,0.065826
Colombia,Female,1950,17,0.99594568000000006,0.10696800000000001
Colombia,Female,1950,18,0.99569294,0.15616999999999998
Colombia,Female,1950,19,0.99546999,0.204095
Colombia,Female,1950,20,0.99528186,0.24770599999999998
Colombia,Female,1950,21,0.99512658,0.28306400000000004
Colombia,Female,1950,22,0.99499632,0.309029
Colombia,Female,1950,23,0.99487787,0.324596
Colombia,Female,1950,24,0.99476016,0.329896
Colombia,Female,1950,25,0.99463625,0.326666
Colombia,Female,1950,26,0.99450284,0.316193
Colombia,Female,1950,27,0.99435817,0.304179
Colombia,Female,1950,28,0.99420204,0.291937
Colombia,Female,1950,29,0.99403484,0.279716
Colombia,Female,1950,30,0.99386094,0.267266
Colombia,Female,1950,31,0.993686,0.257328
Colombia,Female,1950,32,0.99351312,0.249606
Colombia,Female,1950,33,0.99334284,0.244261
Colombia,Female,1950,34,0.99317015,0.24019
Colombia,Female,1950,35,0.99298719,0.23383199999999998
Colombia,Female,1950,36,0.99278504,0.22132
Colombia,Female,1950,37,0.99255466,0.20541900000000002
Colombia,Female,1950,38,0.99229193,0.186316
Colombia,Female,1950,39,0.99200046,0.163594
Colombia,Female,1950,40,0.99169706,0.135882
Colombia,Female,1950,41,0.99140423,0.110361
Colombia,Female,1950,42,0.99113565,0.08582899999999999
Colombia,Female,1950,43,0.99089347,0.064241
Colombia,Female,1950,44,0.99065962,0.046188
Colombia,Female,1950,45,0.99040538,0.033280000000000004
Colombia,Female,1950,46,0.99009805,0.023176
Colombia,Female,1950,47,0.98970172,0.016030000000000003
Colombia,Female,1950,48,0.98919926,0.011162
Colombia,Female,1950,49,0.98858607,0.006803
Colombia,Female,1950,50,0.98787846,0
Colombia,Female,1950,51,0.98711473,0
Colombia,Female,1950,52,0.98632554,0
Colombia,Female,1950,53,0.98553356,0
