Location,Sex,year,age,px
Colombia,Male,1950,0,0.8654813
Colombia,Male,1950,1,0.96816735
Colombia,Male,1950,2,0.97815406
Colombia,Male,1950,3,0.9847454
Colombia,Male,1950,4,0.98912689
Colombia,Male,1950,5,0.99214424
Colombia,Male,1950,6,0.99414263
Colombia,Male,1950,7,0.99536002
Colombia,Male,1950,8,0.99603987
Colombia,Male,1950,9,0.99641613
Colombia,Male,1950,10,0.99671534
Colombia,Male,1950,11,0.99684914
Colombia,Male,1950,12,0.99684432
Colombia,Male,1950,13,0.99668222
Colombia,Male,1950,14,0.99635568
Colombia,Male,1950,15,0.99589429
Colombia,Male,1950,16,0.99533015
Colombia,Male,1950,17,0.9947015
Colombia,Male,1950,18,0.99398601
Colombia,Male,1950,19,0.99320137
Colombia,Male,1950,20,0.99245993
Colombia,Male,1950,21,0.99187952
Colombia,Male,1950,22,0.99155896
Colombia,Male,1950,23,0.99147115
Colombia,Male,1950,24,0.99150299
Colombia,Male,1950,25,0.99160738
Colombia,Male,1950,26,0.99172634
Colombia,Male,1950,27,0.99180671
Colombia,Male,1950,28,0.99185607
Colombia,Male,1950,29,0.99187388
Colombia,Male,1950,30,0.99183951
Colombia,Male,1950,31,0.99174041
Colombia,Male,1950,32,0.9915641
Colombia,Male,1950,33,0.99133964
Colombia,Male,1950,34,0.99110392
Colombia,Male,1950,35,0.99085533
Colombia,Male,1950,36,0.99058526
Colombia,Male,1950,37,0.99028158
Colombia,Male,1950,38,0.98994481
Colombia,Male,1950,39,0.98957454
Colombia,Male,1950,40,0.98916947
Colombia,Male,1950,41,0.98873352
Colombia,Male,1950,42,0.98826767
Colombia,Male,1950,43,0.9877736
Colombia,Male,1950,44,0.98724864
Colombia,Male,1950,45,0.98668194
Colombia,Male,1950,46,0.98605808
Colombia,Male,1950,47,0.98535795
Colombia,Male,1950,48,0.98457109
Colombia,Male,1950,49,0.98369264
Colombia,Male,1950,50,0.98273361
Colombia,Male,1950,51,0.9817187
Colombia,Male,1950,52,0.98066492
Colombia,Male,1950,53,0.97957374
Colombia,Male,1950,54,0.97842579
Colombia,Male,1950,55,0.9771858
Colombia,Male,1950,56,0.97580611
Colombia,Male,1950,57,0.97422544
Colombia,Male,1950,58,0.97240052
Colombia,Male,1950,59,0.97030459
Colombia,Male,1950,60,0.96794578
Colombia,Male,1950,61,0.96537635
Colombia,Male,1950,62,0.96264415
Colombia,Male,1950,63,0.95978556
Colombia,Male,1950,64,0.95679673
Colombia,Male,1950,65,0.95361319
Colombia,Male,1950,66,0.95014107
Colombia,Male,1950,67,0.94625037
Colombia,Male,1950,68,0.94180688
Colombia,Male,1950,69,0.93675011
Colombia,Male,1950,70,0.93111179
Colombia,Male,1950,71,0.92500691
Colombia,Male,1950,72,0.91855783
Colombia,Male,1950,73,0.91188567
Colombia,Male,1950,74,0.90499934
Colombia,Male,1950,75,0.89777463
Colombia,Male,1950,76,0.89005425
Colombia,Male,1950,77,0.88163421
Colombia,Male,1950,78,0.87228139
Colombia,Male,1950,79,0.86188943
Colombia,Male,1950,80,0.85046175
Colombia,Male,1950,81,0.83807375
Colombia,Male,1950,82,0.82484684
Colombia,Male,1950,83,0.810717
Colombia,Male,1950,84,0.79578145
Colombia,Male,1950,85,0.78050864
Colombia,Male,1950,86,0.76533751
Colombia,Male,1950,87,0.75055605
Colombia,Male,1950,88,0.73616169
Colombia,Male,1950,89,0.72171584
Colombia,Male,1950,90,0.70675902
Colombia,Male,1950,91,0.69079823
Colombia,Male,1950,92,0.67347318
Colombia,Male,1950,93,0.65474395
Colombia,Male,1950,94,0.63506405
Colombia,Male,1950,95,0.62073931
Colombia,Male,1950,96,0.60444518
Colombia,Male,1950,97,0.58898497
Colombia,Male,1950,98,0.57449964
Colombia,Male,1950,99,0.56090897
Colombia,Male,1950,100,0
Colombia,Male,1951,0,0.8684892
Colombia,Male,1951,1,0.96959475
Colombia,Male,1951,2,0.9791376
Colombia,Male,1951,3,0.98543326
Colombia,Male,1951,4,0.98961667
Colombia,Male,1951,5,0.99250078
Colombia,Male,1951,6,0.99441453
Colombia,Male,1951,7,0.99558267
Colombia,Male,1951,8,0.9962355
Colombia,Male,1951,9,0.9965943
Colombia,Male,1951,10,0.99687296
Colombia,Male,1951,11,0.99699424
Colombia,Male,1951,12,0.99698311
Colombia,Male,1951,13,0.99682034
Colombia,Male,1951,14,0.99649804
Colombia,Male,1951,15,0.99604455
Colombia,Male,1951,16,0.99549054
Colombia,Male,1951,17,0.99487264
Colombia,Male,1951,18,0.9941684
Colombia,Male,1951,19,0.99339444
Colombia,Male,1951,20,0.99266002
Colombia,Male,1951,21,0.9920803
Colombia,Male,1951,22,0.99175272
Colombia,Male,1951,23,0.99165245
Colombia,Male,1951,24,0.99167098
Colombia,Male,1951,25,0.99176362
Colombia,Male,1951,26,0.99187429
Colombia,Male,1951,27,0.991951
Colombia,Male,1951,28,0.99200037
Colombia,Male,1951,29,0.99202097
Colombia,Male,1951,30,0.99199138
Colombia,Male,1951,31,0.99189794
Colombia,Male,1951,32,0.99172738
Colombia,Male,1951,33,0.99150707
Colombia,Male,1951,34,0.99127315
Colombia,Male,1951,35,0.991025
Colombia,Male,1951,36,0.99075573
Colombia,Male,1951,37,0.99045535
Colombia,Male,1951,38,0.99012526
Colombia,Male,1951,39,0.98976537
Colombia,Male,1951,40,0.98937364
Colombia,Male,1951,41,0.98895235
Colombia,Male,1951,42,0.98850083
Colombia,Male,1951,43,0.98801918
Colombia,Male,1951,44,0.98750405
Colombia,Male,1951,45,0.98694412
Colombia,Male,1951,46,0.98632433
Colombia,Male,1951,47,0.98562665
Colombia,Male,1951,48,0.98484168
Colombia,Male,1951,49,0.98396648
Colombia,Male,1951,50,0.98301355
Colombia,Male,1951,51,0.98200935
Colombia,Male,1951,52,0.98097245
Colombia,Male,1951,53,0.97990426
Colombia,Male,1951,54,0.97878451
Colombia,Male,1951,55,0.97757428
Colombia,Male,1951,56,0.97622194
Colombia,Male,1951,57,0.97466288
Colombia,Male,1951,58,0.97285085
Colombia,Male,1951,59,0.97076041
Colombia,Male,1951,60,0.96840288
Colombia,Male,1951,61,0.96583795
Colombia,Male,1951,62,0.96312306
Colombia,Male,1951,63,0.96030047
Colombia,Male,1951,64,0.95736969
Colombia,Male,1951,65,0.95426078
Colombia,Male,1951,66,0.95087039
Colombia,Male,1951,67,0.94705864
Colombia,Male,1951,68,0.94268163
Colombia,Male,1951,69,0.93767582
Colombia,Male,1951,70,0.93207244
Colombia,Male,1951,71,0.92599298
Colombia,Male,1951,72,0.9195721
Colombia,Male,1951,73,0.91292588
Colombia,Male,1951,74,0.90606746
Colombia,Male,1951,75,0.8988875
Colombia,Male,1951,76,0.89123678
Colombia,Male,1951,77,0.88291864
Colombia,Male,1951,78,0.87371111
Colombia,Male,1951,79,0.86350613
Colombia,Male,1951,80,0.85229554
Colombia,Male,1951,81,0.84014634
Colombia,Male,1951,82,0.82717396
Colombia,Male,1951,83,0.81333773
Colombia,Male,1951,84,0.79873727
Colombia,Male,1951,85,0.78379307
Colombia,Male,1951,86,0.76889489
Colombia,Male,1951,87,0.75429095
Colombia,Male,1951,88,0.73996388
Colombia,Male,1951,89,0.72551459
Colombia,Male,1951,90,0.71053273
Colombia,Male,1951,91,0.69457585
Colombia,Male,1951,92,0.67732737
Colombia,Male,1951,93,0.65876394
Colombia,Male,1951,94,0.63930765
Colombia,Male,1951,95,0.62486509
Colombia,Male,1951,96,0.60860982
Colombia,Male,1951,97,0.59313199
Colombia,Male,1951,98,0.57851448
Colombia,Male,1951,99,0.56465632
Colombia,Male,1951,100,0
Colombia,Male,1952,0,0.87143274
Colombia,Male,1952,1,0.9708734
Colombia,Male,1952,2,0.98005425
Colombia,Male,1952,3,0.9860954
Colombia,Male,1952,4,0.99010056
Colombia,Male,1952,5,0.99285758
Colombia,Male,1952,6,0.99468366
Colombia,Male,1952,7,0.99579488
Colombia,Male,1952,8,0.99641275
Colombia,Male,1952,9,0.99674993
Colombia,Male,1952,10,0.99701192
Colombia,Male,1952,11,0.99712366
Colombia,Male,1952,12,0.99710886
Colombia,Male,1952,13,0.99694859
Colombia,Male,1952,14,0.99663526
Colombia,Male,1952,15,0.99619696
Colombia,Male,1952,16,0.99566429
Colombia,Male,1952,17,0.99507382
Colombia,Male,1952,18,0.99440413
Colombia,Male,1952,19,0.99367118
Colombia,Male,1952,20,0.99297971
Colombia,Male,1952,21,0.99243897
Colombia,Male,1952,22,0.99214075
Colombia,Male,1952,23,0.99205809
Colombia,Male,1952,24,0.99208497
Colombia,Male,1952,25,0.99217903
Colombia,Male,1952,26,0.9922881
Colombia,Male,1952,27,0.99236414
Colombia,Male,1952,28,0.99241495
Colombia,Male,1952,29,0.9924399
Colombia,Male,1952,30,0.99241762
Colombia,Male,1952,31,0.9923338
Colombia,Male,1952,32,0.99217454
Colombia,Male,1952,33,0.99196558
Colombia,Male,1952,34,0.99174195
Colombia,Male,1952,35,0.99150332
Colombia,Male,1952,36,0.99124357
Colombia,Male,1952,37,0.9909537
Colombia,Male,1952,38,0.99063527
Colombia,Male,1952,39,0.99028804
Colombia,Male,1952,40,0.98990923
Colombia,Male,1952,41,0.9894999
Colombia,Male,1952,42,0.98905855
Colombia,Male,1952,43,0.98858465
Colombia,Male,1952,44,0.98807518
Colombia,Male,1952,45,0.98751995
Colombia,Male,1952,46,0.98690532
Colombia,Male,1952,47,0.98621483
Colombia,Male,1952,48,0.98543955
Colombia,Male,1952,49,0.98457616
Colombia,Male,1952,50,0.98363552
Colombia,Male,1952,51,0.98264138
Colombia,Male,1952,52,0.98161047
Colombia,Male,1952,53,0.98054337
Colombia,Male,1952,54,0.97942099
Colombia,Male,1952,55,0.97820724
Colombia,Male,1952,56,0.97685376
Colombia,Male,1952,57,0.97529956
Colombia,Male,1952,58,0.97350021
Colombia,Male,1952,59,0.9714302
Colombia,Male,1952,60,0.96909859
Colombia,Male,1952,61,0.96655998
Colombia,Male,1952,62,0.96386721
Colombia,Male,1952,63,0.96105905
Colombia,Male,1952,64,0.95813438
Colombia,Male,1952,65,0.95502654
Colombia,Male,1952,66,0.95163671
Colombia,Male,1952,67,0.94783063
