1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
237.964,244.982,252.278,260.695,269.046,277.261,285.704,294.213,303.034,311.587,319.824,328.069,335.815,342.756,348.521,352.912,355.877,357.221,357.604,356.487,354.794,353.006,351.401,350.517,351.26,353.369,357.596,363.504,368.583,370.184,375.779,383.081,389.393,395.602,397.071,394.757,393.273,396.698,400.296,404.738,410.97,417.613,423.937,431.1,437.597,438.039,431.52,425.54,427.323,429.158,422.878,418.063,414.508,413.896,411.858,405.305,397.001,390.322,387.04,384.307,377.552,366.345,357.215,353.696,349.215,344.066,335.817,328.691,333.979,341.175,347.067,348.05,347.809,346.062
211.187,224.506,231.561,238.837,247.173,255.533,263.791,272.286,281.102,289.908,298.769,307.184,315.556,323.409,330.515,336.475,341.13,344.338,346.038,346.769,346.066,344.769,343.524,342.635,342.386,343.686,346.349,350.982,357.54,363.033,365.073,371.181,378.747,385.463,392.104,393.781,391.266,390.325,393.941,397.78,402.366,408.79,415.235,421.881,429.011,435.672,436.09,429.716,423.881,425.84,427.612,421.368,416.622,413.158,412.554,410.597,403.981,395.081,388.196,384.625,382.313,375.882,364.431,355.127,351.435,346.92,342.426,335.894,331.014,336.751,343.28,348.027,348.838,348.509
200.886,205.454,218.701,225.802,233.107,241.512,249.955,258.306,267.099,275.937,285.028,294.036,302.566,311.018,318.975,326.187,332.284,337.034,340.404,342.247,343.148,342.604,341.412,340.395,339.69,339.591,341.058,343.798,348.729,355.376,360.969,363.247,369.403,377.139,384.069,390.714,392.072,389.903,389.048,392.795,396.691,401.39,407.595,414.272,420.851,428.08,434.665,435.14,428.848,423.144,425.014,426.764,420.547,415.853,412.412,411.867,409.841,402.948,393.928,386.88,383.557,381.421,374.84,363.293,353.895,350.181,346.048,342.74,338.104,333.611,338.782,344.335,348.93,349.658
191.607,197.109,201.765,214.947,222.072,229.438,237.888,246.376,254.918,263.705,272.748,281.93,291.002,299.574,308.076,316.086,323.375,329.51,334.355,337.802,339.732,340.719,340.208,339.181,338.294,337.674,337.666,339.16,342.148,347.169,353.905,359.68,361.998,368.276,376.174,383.146,389.484,391.105,388.993,388.25,392.052,396.041,400.552,406.938,413.557,420.216,427.378,433.997,434.519,428.323,422.547,424.394,426.153,419.975,415.295,411.906,411.294,408.964,401.95,392.769,385.956,382.811,380.524,373.832,362.184,352.762,349.41,346.346,344.64,340.332,335.364,339.712,345.129,349.647
183.025,189.06,194.604,199.317,212.445,219.613,227.014,235.485,244.107,252.629,261.57,270.674,279.896,288.985,297.583,306.112,314.165,321.463,327.655,332.538,336.024,337.999,338.98,338.589,337.656,336.814,336.24,336.234,337.934,341.005,346.103,352.986,358.776,361.192,367.599,375.548,382.194,388.787,390.439,388.419,387.73,391.608,395.434,400.093,406.428,413.112,419.714,426.903,433.547,434.137,427.874,422.083,423.934,425.716,419.548,414.912,411.464,410.514,408.056,400.876,391.927,385.291,381.996,379.588,372.785,361.11,352.049,349.684,347.978,346.549,341.835,336.175,340.405,345.754
175.117,181.266,187.323,192.903,197.641,210.752,217.942,225.359,233.926,242.522,251.166,260.15,269.28,278.507,287.606,296.217,304.773,312.821,320.153,326.362,331.261,334.767,336.718,337.787,337.462,336.551,335.733,335.144,335.308,337.079,340.215,345.437,352.325,358.184,360.706,367.163,374.776,381.683,388.291,390.016,388.042,387.419,391.155,395.104,399.719,406.108,412.743,419.367,426.573,433.267,433.79,427.513,421.73,423.598,425.383,419.251,414.563,410.761,409.682,407.058,400.099,391.323,384.54,381.125,378.603,371.769,360.445,352.295,351.082,349.611,347.835,342.534,336.775,340.945
167.832,173.871,180.034,186.114,191.705,196.474,209.568,216.766,224.26,232.799,241.491,250.168,259.17,268.299,277.529,286.634,295.263,303.807,311.876,319.214,325.426,330.331,333.806,335.825,336.939,336.624,335.723,334.883,334.436,334.657,336.48,339.719,344.944,351.886,357.824,360.392,366.514,374.391,381.307,387.972,389.733,387.815,387.071,390.91,394.82,399.482,405.828,412.481,419.119,426.364,432.994,433.503,427.231,421.465,423.335,425.147,418.97,413.906,409.976,408.727,406.32,399.531,390.608,383.704,380.174,377.619,371.13,360.66,353.489,352.476,350.709,348.434,343.045,337.237
161.139,166.908,172.957,179.137,185.222,190.831,195.617,208.692,215.951,223.422,232.037,240.754,249.444,258.443,267.573,276.804,285.92,294.536,303.094,311.164,318.501,324.714,329.589,333.115,335.167,336.285,335.974,335.052,334.326,333.926,334.187,336.097,339.337,344.608,351.61,357.583,359.824,366.211,374.094,381.059,387.75,389.556,387.533,386.879,390.685,394.633,399.26,405.62,412.285,418.954,426.142,432.76,433.271,427.012,421.25,423.142,424.913,418.339,413.147,409.046,408.013,405.773,398.834,389.788,382.771,379.206,376.995,371.311,361.675,354.675,353.41,351.218,348.864,343.436
155.139,160.406,166.185,172.247,178.429,184.526,190.145,194.939,208.043,215.281,222.817,231.451,240.179,248.864,257.864,266.993,276.233,285.336,293.962,302.519,310.588,317.925,324.112,329.028,332.579,334.634,335.756,335.427,334.599,333.909,333.539,333.874,335.783,339.065,344.383,351.41,357.066,359.57,365.963,373.886,380.873,387.6,389.315,387.368,386.687,390.526,394.444,399.084,405.454,412.146,418.763,425.941,432.559,433.081,426.824,421.083,422.941,424.307,417.608,412.247,408.356,407.486,405.095,398.037,388.882,381.832,378.602,377.143,372.17,362.68,355.466,353.84,351.578,349.192
149.788,154.517,159.795,165.585,171.648,177.839,183.942,189.565,194.399,207.47,214.762,222.316,230.958,239.682,248.367,257.367,266.502,275.73,284.841,293.466,302.023,310.094,317.409,323.63,328.568,332.123,334.184,335.292,335.04,334.241,333.572,333.266,333.602,335.548,338.867,344.203,350.935,356.838,359.349,365.776,373.717,380.734,387.379,389.161,387.192,386.541,390.353,394.283,398.932,405.325,411.971,418.583,425.762,432.387,432.908,426.67,420.9,422.356,423.598,416.736,411.577,407.843,406.826,404.32,397.156,387.969,381.245,378.722,377.876,373.028,363.353,355.83,354.139,351.853
