1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
246.324,252.773,260.299,269.026,277.705,286.253,294.967,303.824,313.171,322.125,330.738,339.48,347.688,355.06,361.298,366.142,369.478,371.158,371.607,370.426,368.651,366.74,364.924,363.831,364.71,367.044,371.577,377.68,382.904,384.362,390.074,397.426,404.098,410.502,412.006,409.462,408.022,411.388,414.979,419.544,426.172,433.262,439.567,446.678,453.528,454.262,447.757,441.961,444.09,446.398,440.177,435.503,432.182,431.776,430.087,423.092,414.263,407.749,404.198,401.556,394.209,382.25,372.753,369.053,364.651,359.36,350.583,342.612,348.08,355.587,361.856,362.999,362.758,360.951
214.215,231.389,237.893,245.391,254.008,262.664,271.227,279.977,289.159,298.503,307.793,316.597,325.465,333.765,341.284,347.703,352.805,356.389,358.44,359.265,358.512,357.244,355.978,354.949,354.562,356.024,358.937,363.885,370.679,376.365,378.331,384.619,392.286,399.405,406.28,408.083,405.363,404.548,408.143,412.002,416.728,423.569,430.471,437.111,444.208,451.242,451.976,445.645,440.025,442.355,444.622,438.451,433.863,430.612,430.218,428.613,421.563,412.088,405.355,401.498,399.306,392.315,380.106,370.427,366.542,362.109,357.518,350.532,344.812,350.732,357.572,362.69,363.669,363.341
203.499,208.241,225.23,231.807,239.334,248.013,256.746,265.4,274.463,283.687,293.336,302.787,311.711,320.655,329.05,336.669,343.221,348.417,352.167,354.369,355.353,354.755,353.588,352.57,351.746,351.499,353.112,356.075,361.323,368.211,374.016,376.247,382.597,390.441,397.777,404.708,406.178,403.855,403.141,406.87,410.784,415.629,422.25,429.379,435.958,443.159,450.119,450.918,444.679,439.2,441.45,443.693,437.56,433.027,429.805,429.475,427.804,420.569,410.999,404.132,400.491,398.455,391.345,379.065,369.308,365.412,361.305,357.817,352.726,347.4,352.753,358.611,363.583,364.479
193.802,199.541,204.365,221.212,227.813,235.393,244.11,252.886,261.727,270.793,280.222,289.963,299.481,308.451,317.442,325.891,333.587,340.178,345.47,349.296,351.595,352.679,352.124,351.124,350.24,349.515,349.377,351.036,354.256,359.6,366.577,372.564,374.839,381.317,389.331,396.693,403.328,405.053,402.792,402.197,405.984,409.995,414.656,421.464,428.537,435.201,442.339,449.338,450.188,444.051,438.508,440.74,442.994,436.905,432.389,429.222,428.828,426.942,419.613,409.916,403.252,399.763,397.604,390.407,378.051,368.28,364.692,361.567,359.693,354.933,349.132,353.66,359.381,364.278
184.84,191.117,196.896,201.761,218.493,225.136,232.746,241.483,250.381,259.206,268.421,277.909,287.689,297.228,306.227,315.247,323.741,331.447,338.092,343.419,347.302,349.663,350.755,350.313,349.402,348.588,347.938,347.837,349.713,353.021,358.437,365.552,371.552,373.929,380.546,388.569,395.638,402.482,404.236,402.075,401.544,405.41,409.263,414.083,420.84,427.983,434.594,441.761,448.787,449.705,443.506,437.956,440.192,442.472,436.395,431.924,428.701,428.034,426.041,418.574,409.086,402.58,398.959,396.698,389.411,377.032,367.586,364.922,363.172,361.577,356.411,349.919,354.323,359.979
176.586,182.98,189.277,195.073,199.947,216.624,223.29,230.915,239.738,248.61,257.547,266.801,276.316,286.105,295.657,304.672,313.721,322.21,329.946,336.604,341.963,345.882,348.233,349.401,349.016,348.155,347.392,346.77,346.851,348.803,352.17,357.696,364.811,370.882,373.376,379.997,387.729,394.996,401.85,403.681,401.581,401.119,404.849,408.835,413.612,420.427,427.524,434.159,441.343,448.416,449.27,443.065,437.522,439.779,442.06,436.021,431.499,427.968,427.19,425.051,417.791,408.461,401.822,398.092,395.736,388.417,376.367,367.788,366.294,364.78,362.837,357.087,350.487,354.835
168.99,175.266,181.671,187.974,193.767,198.666,215.299,221.977,229.669,238.462,247.421,256.387,265.658,275.176,284.971,294.531,303.565,312.601,321.108,328.845,335.521,340.9,344.799,347.202,348.405,348.055,347.231,346.487,346.015,346.16,348.159,351.617,357.14,364.309,370.469,372.966,379.306,387.232,394.502,401.417,403.298,401.256,400.68,404.522,408.472,413.298,420.073,427.189,433.836,441.057,448.067,448.913,442.711,437.189,439.445,441.753,435.671,430.807,427.163,426.233,424.299,417.198,407.73,400.979,397.151,394.758,387.769,376.539,368.961,367.667,365.856,363.413,357.567,350.925
162.011,168.01,174.295,180.701,186.995,192.801,197.714,214.311,221.044,228.711,237.574,246.552,255.53,264.802,274.324,284.121,293.693,302.714,311.761,320.263,328.009,334.696,340.05,343.988,346.413,347.64,347.316,346.504,345.885,345.467,345.65,347.726,351.178,356.745,363.984,370.143,372.375,378.908,386.835,394.156,401.111,403.038,400.899,400.419,404.229,408.222,413.016,419.807,426.931,433.608,440.774,447.774,448.618,442.434,436.913,439.192,441.459,435.007,430.026,426.226,425.503,423.726,416.483,406.903,400.051,396.185,394.124,387.914,377.539,370.132,368.582,366.345,363.816,357.936
155.801,161.235,167.242,173.527,179.922,186.223,192.036,196.956,213.565,220.278,228.003,236.882,245.868,254.846,264.12,273.643,283.448,293.006,302.036,311.075,319.582,327.335,333.997,339.38,343.334,345.775,347.023,346.705,345.999,345.422,345.036,345.285,347.355,350.845,356.469,363.707,369.616,372.039,378.575,386.545,393.899,400.89,402.732,400.675,400.171,404.018,407.984,412.792,419.589,426.738,433.368,440.526,447.523,448.377,442.195,436.697,438.94,440.815,434.244,429.104,425.513,424.947,423.026,415.669,405.986,399.097,395.563,394.243,388.763,378.535,370.911,368.993,366.68,364.125
150.31,155.145,160.587,166.593,172.868,179.267,185.572,191.386,196.345,212.91,219.675,227.415,236.3,245.284,254.262,263.538,273.067,282.859,292.421,301.446,310.488,318.999,326.728,333.414,338.81,342.776,345.234,346.483,346.255,345.583,345.033,344.704,344.949,347.054,350.591,356.214,363.227,369.314,371.745,378.319,386.315,393.7,400.613,402.523,400.447,399.978,403.804,407.781,412.596,419.415,426.523,433.149,440.303,447.307,448.159,441.998,436.473,438.305,440.054,433.321,428.391,424.961,424.249,422.21,414.749,405.029,398.476,395.66,394.97,389.614,379.199,371.254,369.27,366.938
