"age","year","Sex","fx","px"
0,1950,"Female",0,0.84744548
0,1951,"Female",0,0.84872364
0,1952,"Female",0,0.85000171
0,1953,"Female",0,0.85134022
0,1954,"Female",0,0.85279179
0,1955,"Female",0,0.85439976
0,1956,"Female",0,0.85619167
0,1957,"Female",0,0.85815649
0,1958,"Female",0,0.86030232
0,1959,"Female",0,0.86257341
0,1960,"Female",0,0.86492035
0,1961,"Female",0,0.86730953
0,1962,"Female",0,0.86971522
0,1963,"Female",0,0.8721206
0,1964,"Female",0,0.874539
0,1965,"Female",0,0.87698466
0,1966,"Female",0,0.87913793
0,1967,"Female",0,0.88169405
0,1968,"Female",0,0.8845423
0,1969,"Female",0,0.88702632
0,1970,"Female",0,0.88987523
0,1971,"Female",0,0.89261016
0,1972,"Female",0,0.89538505
0,1973,"Female",0,0.89818108
0,1974,"Female",0,0.90100558
0,1975,"Female",0,0.90378684
0,1976,"Female",0,0.8982489
0,1977,"Female",0,0.90938054
0,1978,"Female",0,0.91218064
0,1979,"Female",0,0.91477947
0,1980,"Female",0,0.91729096
0,1981,"Female",0,0.92033362
0,1982,"Female",0,0.91477282
0,1983,"Female",0,0.92570297
0,1984,"Female",0,0.92837535
0,1985,"Female",0,0.9310354
0,1986,"Female",0,0.93367312
0,1987,"Female",0,0.93618785
0,1988,"Female",0,0.938836
0,1989,"Female",0,0.94132355
0,1990,"Female",0,0.94356153
0,1991,"Female",0,0.94606595
0,1992,"Female",0,0.94827415
0,1993,"Female",0,0.9503818
0,1994,"Female",0,0.95245824
0,1995,"Female",0,0.9543797
0,1996,"Female",0,0.95625494
0,1997,"Female",0,0.95799945
0,1998,"Female",0,0.95950155
0,1999,"Female",0,0.96121407
0,2000,"Female",0,0.96269598
0,2001,"Female",0,0.96413277
0,2002,"Female",0,0.96553518
0,2003,"Female",0,0.96687597
0,2004,"Female",0,0.96816227
0,2005,"Female",0,0.96893704
0,2006,"Female",0,0.97059341
0,2007,"Female",0,0.97174096
0,2008,"Female",0,0.97283182
0,2009,"Female",0,0.97394842
0,2010,"Female",0,0.974948
0,2011,"Female",0,0.9759603
0,2012,"Female",0,0.97696476
0,2013,"Female",0,0.97788155
0,2014,"Female",0,0.97873982
0,2015,"Female",0,0.97948207
0,2016,"Female",0,0.9803005
0,2017,"Female",0,0.98100745
0,2018,"Female",0,0.98160992
0,2019,"Female",0,0.98230972
0,2020,"Female",0,0.98291075
0,2021,"Female",0,0.98347827
0,2022,"Female",0,0.98402186
0,2023,"Female",0,0.98454862
1,1950,"Female",0,0.96602935
1,1951,"Female",0,0.96653571
1,1952,"Female",0,0.96648294
1,1953,"Female",0,0.96649063
1,1954,"Female",0,0.96659668
1,1955,"Female",0,0.96683304
1,1956,"Female",0,0.96721518
1,1957,"Female",0,0.96773403
1,1958,"Female",0,0.96701488
1,1959,"Female",0,0.966533
1,1960,"Female",0,0.96640221
1,1961,"Female",0,0.96833023
1,1962,"Female",0,0.97029315
1,1963,"Female",0,0.97195741
1,1964,"Female",0,0.97386776
1,1965,"Female",0,0.97582553
1,1966,"Female",0,0.97730852
1,1967,"Female",0,0.97858497
1,1968,"Female",0,0.98025863
1,1969,"Female",0,0.98110349
1,1970,"Female",0,0.98196151
1,1971,"Female",0,0.98149221
1,1972,"Female",0,0.98192014
1,1973,"Female",0,0.98209403
1,1974,"Female",0,0.98360955
1,1975,"Female",0,0.98495923
1,1976,"Female",0,0.97941543
1,1977,"Female",0,0.98525525
1,1978,"Female",0,0.98534798
1,1979,"Female",0,0.98575997
1,1980,"Female",0,0.98694444
1,1981,"Female",0,0.98811911
1,1982,"Female",0,0.98285416
1,1983,"Female",0,0.98986818
1,1984,"Female",0,0.99016381
1,1985,"Female",0,0.99038129
1,1986,"Female",0,0.9909328
1,1987,"Female",0,0.9913186
1,1988,"Female",0,0.99175963
1,1989,"Female",0,0.99260372
1,1990,"Female",0,0.99308295
1,1991,"Female",0,0.99363157
1,1992,"Female",0,0.9935654
1,1993,"Female",0,0.9937928
1,1994,"Female",0,0.99431987
1,1995,"Female",0,0.9946645
1,1996,"Female",0,0.99498817
1,1997,"Female",0,0.99516749
1,1998,"Female",0,0.99520807
1,1999,"Female",0,0.99549109
1,2000,"Female",0,0.99562957
1,2001,"Female",0,0.99585203
1,2002,"Female",0,0.99604554
1,2003,"Female",0,0.99623935
1,2004,"Female",0,0.9964116
1,2005,"Female",0,0.99625932
1,2006,"Female",0,0.99675565
1,2007,"Female",0,0.99688946
1,2008,"Female",0,0.99706352
1,2009,"Female",0,0.9972338
1,2010,"Female",0,0.99728404
1,2011,"Female",0,0.99737448
1,2012,"Female",0,0.99754518
1,2013,"Female",0,0.9977283
1,2014,"Female",0,0.99786122
1,2015,"Female",0,0.99791156
1,2016,"Female",0,0.99807958
1,2017,"Female",0,0.99822465
1,2018,"Female",0,0.99822719
1,2019,"Female",0,0.99837741
1,2020,"Female",0,0.99830569
1,2021,"Female",0,0.99839099
1,2022,"Female",0,0.99854641
1,2023,"Female",0,0.99858983
2,1950,"Female",0,0.96766694
2,1951,"Female",0,0.96830212
2,1952,"Female",0,0.96875134
2,1953,"Female",0,0.96923797
2,1954,"Female",0,0.96978604
2,1955,"Female",0,0.9704144
2,1956,"Female",0,0.9711304
2,1957,"Female",0,0.97192283
2,1958,"Female",0,0.97261491
2,1959,"Female",0,0.97337513
2,1960,"Female",0,0.9741822
2,1961,"Female",0,0.97523195
2,1962,"Female",0,0.97626491
2,1963,"Female",0,0.9772425
2,1964,"Female",0,0.97827037
2,1965,"Female",0,0.97929008
2,1966,"Female",0,0.98006672
2,1967,"Female",0,0.98098199
2,1968,"Female",0,0.98208642
2,1969,"Female",0,0.98283507
2,1970,"Female",0,0.98368976
2,1971,"Female",0,0.98422025
2,1972,"Female",0,0.9849143
2,1973,"Female",0,0.98554766
2,1974,"Female",0,0.98638192
2,1975,"Female",0,0.98717346
2,1976,"Female",0,0.98372444
2,1977,"Female",0,0.98837272
2,1978,"Female",0,0.98889222
2,1979,"Female",0,0.98938701
2,1980,"Female",0,0.98988365
2,1981,"Female",0,0.99065098
2,1982,"Female",0,0.98693972
2,1983,"Female",0,0.99175064
2,1984,"Female",0,0.99220547
2,1985,"Female",0,0.99262879
2,1986,"Female",0,0.99307727
2,1987,"Female",0,0.99347688
2,1988,"Female",0,0.99389411
2,1989,"Female",0,0.99432633
2,1990,"Female",0,0.9945863
2,1991,"Female",0,0.9950164
2,1992,"Female",0,0.99524419
2,1993,"Female",0,0.99550274
2,1994,"Female",0,0.99580999
2,1995,"Female",0,0.99605224
2,1996,"Female",0,0.99629361
2,1997,"Female",0,0.99649763
2,1998,"Female",0,0.99660588
2,1999,"Female",0,0.99685688
2,2000,"Female",0,0.99701537
2,2001,"Female",0,0.99716808
2,2002,"Female",0,0.99731665
2,2003,"Female",0,0.99745861
2,2004,"Female",0,0.9975894
2,2005,"Female",0,0.99748041
2,2006,"Female",0,0.99782706
2,2007,"Female",0,0.99793368
2,2008,"Female",0,0.99802637
2,2009,"Female",0,0.99813515
2,2010,"Female",0,0.99820632
2,2011,"Female",0,0.99830753
2,2012,"Female",0,0.99840016
2,2013,"Female",0,0.99847697
2,2014,"Female",0,0.99854797
2,2015,"Female",0,0.99858625
2,2016,"Female",0,0.99867433
2,2017,"Female",0,0.99873003
2,2018,"Female",0,0.99875301
2,2019,"Female",0,0.99883099
2,2020,"Female",0,0.99888577
2,2021,"Female",0,0.99892222
2,2022,"Female",0,0.99896349
2,2023,"Female",0,0.99899813
3,1950,"Female",0,0.96953534
3,1951,"Female",0,0.97026788
3,1952,"Female",0,0.97113252
3,1953,"Female",0,0.97200155
3,1954,"Female",0,0.97288907
3,1955,"Female",0,0.97380551
3,1956,"Female",0,0.97475433
3,1957,"Female",0,0.97572549
3,1958,"Female",0,0.97729465
3,1959,"Female",0,0.97880793
3,1960,"Female",0,0.98017422
3,1961,"Female",0,0.98064677
3,1962,"Female",0,0.98107068
3,1963,"Female",0,0.98158672
3,1964,"Female",0,0.98197795
3,1965,"Female",0,0.98232187
3,1966,"Female",0,0.98258028
3,1967,"Female",0,0.98320161
3,1968,"Female",0,0.98384467
3,1969,"Female",0,0.984472
3,1970,"Female",0,0.98532681
3,1971,"Female",0,0.9865674
3,1972,"Female",0,0.98742164
3,1973,"Female",0,0.98835138
3,1974,"Female",0,0.98870265
3,1975,"Female",0,0.98906775
3,1976,"Female",0,0.98585697
3,1977,"Female",0,0.99072837
3,1978,"Female",0,0.99153409
3,1979,"Female",0,0.99204678
3,1980,"Female",0,0.99214543
3,1981,"Female",0,0.99264261
3,1982,"Female",0,0.989541
3,1983,"Female",0,0.99328378
3,1984,"Female",0,0.99380807
3,1985,"Female",0,0.99433773
3,1986,"Female",0,0.99469971
3,1987,"Female",0,0.99506739
3,1988,"Female",0,0.99545201
3,1989,"Female",0,0.99560066
3,1990,"Female",0,0.99571992
3,1991,"Female",0,0.99606111
3,1992,"Female",0,0.99646168
3,1993,"Female",0,0.99671717
3,1994,"Female",0,0.99688839
3,1995,"Female",0,0.99705811
3,1996,"Female",0,0.99724138
3,1997,"Female",0,0.9974436
3,1998,"Female",0,0.99756273
3,1999,"Female",0,0.99778812
3,2000,"Female",0,0.99793888
3,2001,"Female",0,0.9980442
3,2002,"Female",0,0.99815842
3,2003,"Female",0,0.99826332
3,2004,"Female",0,0.99836238
3,2005,"Female",0,0.99823919
3,2006,"Female",0,0.99852691
3,2007,"Female",0,0.99860939
3,2008,"Female",0,0.99865375
3,2009,"Female",0,0.99872627
3,2010,"Female",0,0.99879073
3,2011,"Female",0,0.998887
3,2012,"Female",0,0.99893929
3,2013,"Female",0,0.99896496
3,2014,"Female",0,0.99900139
3,2015,"Female",0,0.99902309
3,2016,"Female",0,0.99907326
3,2017,"Female",0,0.99908258
3,2018,"Female",0,0.99910369
3,2019,"Female",0,0.99914953
3,2020,"Female",0,0.99925476
3,2021,"Female",0,0.99926624
3,2022,"Female",0,0.99925333
3,2023,"Female",0,0.99928078
4,1950,"Female",0,0.97193047
4,1951,"Female",0,0.97270931
4,1952,"Female",0,0.9738659
4,1953,"Female",0,0.9749913
4,1954,"Female",0,0.97609352
4,1955,"Female",0,0.97717864
4,1956,"Female",0,0.97824943
4,1957,"Female",0,0.97929918
4,1958,"Female",0,0.98130115
4,1959,"Female",0,0.98316654
4,1960,"Female",0,0.98477858
4,1961,"Female",0,0.98490332
4,1962,"Female",0,0.9849605
4,1963,"Female",0,0.98518632
4,1964,"Female",0,0.98515471
4,1965,"Female",0,0.98506232
4,1966,"Female",0,0.98498786
4,1967,"Female",0,0.98537774
4,1968,"Female",0,0.9856506
4,1969,"Female",0,0.98614282
4,1970,"Female",0,0.98696874
4,1971,"Female",0,0.98863543
4,1972,"Female",0,0.98955636
4,1973,"Female",0,0.99063733
4,1974,"Female",0,0.9906706
4,1975,"Female",0,0.99071631
4,1976,"Female",0,0.98740683
4,1977,"Female",0,0.99252335
4,1978,"Female",0,0.99350387
4,1979,"Female",0,0.99399884
4,1980,"Female",0,0.99389964
4,1981,"Female",0,0.99421415
4,1982,"Female",0,0.99148789
4,1983,"Female",0,0.99454195
4,1984,"Female",0,0.99506893
4,1985,"Female",0,0.9956272
4,1986,"Female",0,0.99591631
4,1987,"Female",0,0.9962365
4,1988,"Female",0,0.99657632
4,1989,"Female",0,0.99654074
4,1990,"Female",0,0.99657896
4,1991,"Female",0,0.99684941
4,1992,"Female",0,0.99733522
4,1993,"Female",0,0.99756836
4,1994,"Female",0,0.99765977
4,1995,"Female",0,0.99777967
4,1996,"Female",0,0.99792021
4,1997,"Female",0,0.99810622
4,1998,"Female",0,0.99821412
4,1999,"Female",0,0.99841409
4,2000,"Female",0,0.99854655
4,2001,"Female",0,0.99861974
4,2002,"Female",0,0.99870783
4,2003,"Female",0,0.9987862
4,2004,"Female",0,0.99886129
4,2005,"Female",0,0.99871881
4,2006,"Female",0,0.99897612
4,2007,"Female",0,0.99903947
4,2008,"Female",0,0.99905761
4,2009,"Female",0,0.99910769
4,2010,"Female",0,0.99915706
4,2011,"Female",0,0.99924256
4,2012,"Female",0,0.99927327
4,2013,"Female",0,0.99927666
4,2014,"Female",0,0.99929471
4,2015,"Female",0,0.99930327
4,2016,"Female",0,0.99933569
4,2017,"Female",0,0.99932404
4,2018,"Female",0,0.99933608
4,2019,"Female",0,0.99936868
4,2020,"Female",0,0.99948384
4,2021,"Female",0,0.99948339
4,2022,"Female",0,0.99945055
4,2023,"Female",0,0.99947235
5,1950,"Female",0,0.97504508
5,1951,"Female",0,0.97584824
5,1952,"Female",0,0.97711481
5,1953,"Female",0,0.97832782
5,1954,"Female",0,0.97949035
5,1955,"Female",0,0.98060676
5,1956,"Female",0,0.98167967
5,1957,"Female",0,0.982706
5,1958,"Female",0,0.9847984
5,1959,"Female",0,0.98671981
5,1960,"Female",0,0.98834531
5,1961,"Female",0,0.98827798
5,1962,"Female",0,0.98812989
5,1963,"Female",0,0.98818316
5,1964,"Female",0,0.98791176
5,1965,"Female",0,0.98759326
5,1966,"Female",0,0.98734239
5,1967,"Female",0,0.9875673
5,1968,"Female",0,0.98758294
5,1969,"Female",0,0.98793506
5,1970,"Female",0,0.98869007
5,1971,"Female",0,0.99049951
5,1972,"Female",0,0.99140691
5,1973,"Female",0,0.99251239
