"1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
67.987,69.907,72.198,74.326,76.262,78.1,79.904,81.769,83.419,84.869,86.466,88.216,89.977,91.799,93.84,95.998,98.399,100.82,103.121,105.588,108.109,110.627,113.186,115.764,118.617,121.675,124.153,126.847,130.096,133.338,136.951,140.476,143.011,145.656,148.015,149.501,151.982,155.761,160.363,164.399,167.349,169.871,172.619,176.043,179.749,182.931,185.243,187.125,189.009,190.627,192.156,193.865,194.452,194.222,194.27,193.55,192.553,192.459,192.151,192.079,193.139,194.766,196.726,197.85,198.891,200.759,202.623,202.268,199.163,193.831,187.5,183.265,181.767,182.021,182.907,183.639,183.913,183.925,183.84,183.988,184.309,184.555,184.659,184.75,184.667,184.381,183.953,183.224,182.288,181.128,179.649,178.1,176.607,175.15,173.809,172.559,171.368,170.199,169.194,168.315,167.337,166.42,165.585,164.722,163.809,162.859,161.936,161.005,159.969,158.98,158.155,157.321,156.407,155.541,154.746,153.816,152.766,151.684,150.54,149.35,148.157,147.004,145.928,144.962,143.932,142.882,141.909,140.943,139.982,138.952,137.953,137.089,136.169,135.195,134.254,133.286,132.338,131.359,130.472,129.667,128.798,127.925,127.016,126.112,125.236,124.383,123.546,122.649,121.828,121.049,120.184
61.642,63.288,65.112,67.27,69.29,71.147,72.924,74.68,76.472,78.065,79.502,81.12,82.925,84.737,86.611,88.704,90.892,93.303,95.757,98.085,100.553,103.032,105.507,108.059,110.576,113.373,116.037,118.528,121.621,124.883,128.209,131.919,135.195,137.978,141.217,143.692,145.276,147.878,151.828,156.614,160.84,163.949,166.635,169.541,173.12,176.969,180.254,182.688,184.696,186.68,188.323,189.913,191.758,192.466,192.367,192.496,191.889,191.04,191.022,190.78,190.797,191.942,193.632,195.638,196.786,197.822,199.762,201.686,201.278,198.163,192.988,186.791,182.643,181.239,181.481,182.352,183.096,183.381,183.404,183.332,183.492,183.821,184.079,184.195,184.298,184.226,183.945,183.523,182.806,181.877,180.725,179.256,177.718,176.237,174.791,173.457,172.213,171.023,169.859,168.868,167.994,167.023,166.116,165.288,164.427,163.512,162.569,161.654,160.728,159.692,158.703,157.879,157.048,156.143,155.281,154.484,153.559,152.516,151.441,150.3,149.107,147.919,146.774,145.697,144.732,143.707,142.669,141.705,140.738,139.774,138.746,137.751,136.886,135.967,134.997,134.06,133.093,132.145,131.172,130.29,129.487,128.616,127.74,126.832,125.93,125.058,124.21,123.375,122.481,121.663,120.883
56.998,59.62,61.233,63.004,65.108,67.09,68.921,70.684,72.401,74.145,75.723,77.197,78.893,80.765,82.644,84.597,86.748,88.978,91.444,93.937,96.281,98.713,101.147,103.612,106.093,108.556,111.035,113.685,116.477,119.569,122.899,126.311,129.808,133.271,136.529,139.815,142.304,143.916,146.562,150.568,155.41,159.643,162.763,165.475,168.436,172.072,175.924,179.226,181.688,183.708,185.643,187.276,188.924,190.81,191.57,191.487,191.661,191.134,190.31,190.31,190.108,190.168,191.344,193.048,195.049,196.173,197.253,199.228,201.084,200.644,197.643,192.563,186.434,182.367,180.946,181.167,182.047,182.798,183.088,183.118,183.053,183.218,183.554,183.82,183.941,184.051,183.98,183.701,183.286,182.572,181.646,180.5,179.037,177.506,176.031,174.589,173.257,172.012,170.824,169.671,168.68,167.81,166.845,165.945,165.115,164.25,163.339,162.401,161.49,160.562,159.525,158.535,157.712,156.887,155.987,155.123,154.327,153.407,152.369,151.297,150.152,148.962,147.78,146.633,145.555,144.593,143.578,142.549,141.583,140.613,139.65,138.623,137.625,136.761,135.846,134.879,133.941,132.974,132.03,131.06,130.179,129.373,128.5,127.624,126.717,125.819,124.95,124.102,123.27,122.378,121.558
52.334,55.231,57.81,59.407,61.166,63.257,65.235,67.074,68.853,70.611,72.406,74.023,75.522,77.239,79.129,81.026,82.984,85.139,87.392,89.871,92.377,94.736,97.184,99.647,102.066,104.478,106.7,109.213,112.145,114.972,118.103,121.468,124.689,128.287,132.105,135.432,138.735,141.241,142.905,145.589,149.62,154.447,158.702,161.869,164.638,167.653,171.286,175.153,178.484,180.96,182.944,184.87,186.549,188.23,190.154,190.925,190.875,191.111,190.599,189.786,189.817,189.656,189.742,190.922,192.614,194.589,195.744,196.847,198.761,200.585,200.243,197.325,192.292,186.227,182.146,180.708,180.936,181.82,182.572,182.868,182.903,182.841,183.012,183.353,183.624,183.751,183.859,183.788,183.516,183.102,182.389,181.468,180.326,178.869,177.343,175.87,174.429,173.095,171.851,170.671,169.518,168.531,167.667,166.707,165.803,164.97,164.108,163.202,162.267,161.353,160.423,159.385,158.395,157.579,156.757,155.854,154.991,154.201,153.285,152.249,151.173,150.03,148.845,147.661,146.513,145.439,144.485,143.478,142.447,141.477,140.507,139.545,138.516,137.519,136.657,135.744,134.777,133.839,132.875,131.935,130.966,130.083,129.274,128.4,127.526,126.621,125.725,124.857,124.011,123.181,122.288
48.543,50.826,53.686,56.243,57.852,59.627,61.729,63.725,65.609,67.472,69.316,71.148,72.758,74.254,75.962,77.83,79.698,81.639,83.794,86.043,88.532,91.082,93.496,95.995,98.408,100.726,102.897,105.175,107.99,110.972,113.826,116.968,120.162,123.454,127.344,131.238,134.583,137.895,140.444,142.131,144.825,148.835,153.689,157.995,161.221,164.043,167.054,170.701,174.595,177.94,180.387,182.363,184.325,186.029,187.74,189.668,190.463,190.466,190.709,190.202,189.414,189.482,189.341,189.427,190.591,192.26,194.259,195.43,196.478,198.363,200.272,200,197.116,192.132,186.054,181.958,180.526,180.757,181.643,182.399,182.698,182.736,182.679,182.853,183.198,183.472,183.598,183.706,183.639,183.368,182.954,182.245,181.327,180.189,178.736,177.21,175.739,174.296,172.963,171.725,170.545,169.395,168.413,167.552,166.589,165.682,164.851,163.993,163.089,162.151,161.236,160.304,159.267,158.284,157.469,156.644,155.742,154.883,154.097,153.183,152.143,151.069,149.93,148.744,147.559,146.413,145.346,144.399,143.391,142.356,141.386,140.417,139.454,138.425,137.431,136.571,135.657,134.689,133.755,132.794,131.854,130.882,129.996,129.187,128.315,127.442,126.54,125.644,124.778,123.934,123.103
45.297,47.278,49.551,52.398,54.955,56.593,58.394,60.516,62.566,64.547,66.507,68.385,70.194,71.785,73.259,74.928,76.751,78.591,80.519,82.656,84.915,87.463,90.083,92.556,94.687,96.61,98.555,100.751,103.361,106.226,109.273,112.141,115.242,118.695,122.358,126.368,130.238,133.55,136.904,139.465,141.167,143.781,147.796,152.727,157.274,160.762,163.579,166.603,170.275,174.181,177.501,179.94,181.944,183.925,185.654,187.365,189.311,190.15,190.159,190.403,189.915,189.157,189.242,189.1,189.171,190.314,192.002,194.011,195.133,196.156,198.114,200.083,199.837,196.991,191.994,185.902,181.811,180.382,180.614,181.503,182.262,182.563,182.603,182.549,182.726,183.075,183.347,183.472,183.584,183.518,183.245,182.834,182.127,181.213,180.077,178.625,177.101,175.626,174.183,172.856,171.619,170.44,169.294,168.315,167.452,166.486,165.58,164.754,163.897,162.99,162.05,161.133,160.203,159.171,158.189,157.371,156.548,155.649,154.794,154.009,153.09,152.053,150.982,149.843,148.654,147.471,146.333,145.273,144.323,143.311,142.276,141.308,140.338,139.374,138.347,137.355,136.494,135.581,134.614,133.683,132.722,131.78,130.806,129.92,129.112,128.241,127.371,126.469,125.576,124.711,123.866
42.492,44.269,46.252,48.531,51.378,53.946,55.612,57.441,59.615,61.757,63.83,65.819,67.668,69.451,71.013,72.445,74.066,75.858,77.675,79.58,81.724,84.045,86.666,89.342,91.447,93.083,94.638,96.605,99.122,101.785,104.713,107.766,110.629,113.99,117.766,121.539,125.525,129.359,132.707,136.063,138.626,140.252,142.875,146.967,152.123,156.915,160.397,163.226,166.272,169.954,173.839,177.15,179.611,181.631,183.633,185.358,187.083,189.067,189.909,189.917,190.176,189.713,188.97,189.05,188.895,188.947,190.107,191.802,193.768,194.869,195.954,197.963,199.952,199.738,196.877,191.865,185.778,181.691,180.263,180.499,181.388,182.148,182.452,182.495,182.444,182.624,182.97,183.241,183.369,183.481,183.413,183.143,182.734,182.03,181.118,179.983,178.531,177.005,175.53,174.091,172.764,171.528,170.354,169.21,168.229,167.362,166.398,165.495,164.669,163.81,162.902,161.961,161.044,160.119,159.088,158.103,157.287,156.467,155.571,154.716,153.928,153.011,151.976,150.905,149.763,148.577,147.401,146.268,145.206,144.254,143.242,142.208,141.237,140.267,139.305,138.28,137.287,136.426,135.514,134.552,133.62,132.657,131.713,130.738,129.853,129.047,128.178,127.308,126.408,125.516,124.65
40.066,41.684,43.468,45.464,47.754,50.606,53.185,54.877,56.753,59.004,61.223,63.318,65.279,67.105,68.857,70.379,71.769,73.362,75.129,76.921,78.829,81.026,83.414,86.085,88.403,90.029,91.306,92.876,95.148,97.716,100.439,103.373,106.438,109.546,113.19,117.066,120.813,124.76,128.623,131.969,135.322,137.811,139.445,142.14,146.446,151.838,156.621,160.111,162.959,166.015,169.68,173.555,176.885,179.358,181.394,183.391,185.127,186.887,188.872,189.712,189.732,190.012,189.56,188.813,188.882,188.71,188.776,189.941,191.599,193.546,194.699,195.827,197.853,199.869,199.641,196.766,191.757,185.673,181.588,180.162,180.399,181.29,182.052,182.357,182.403,182.354,182.532,182.877,183.151,183.279,183.389,183.324,183.055,182.649,181.947,181.035,179.9,178.446,176.919,175.449,174.01,172.685,171.452,170.28,169.134,168.149,167.284,166.321,165.421,164.593,163.732,162.822,161.881,160.969,160.044,159.011,158.027,157.214,156.397,155.502,154.644,153.857,152.943,151.907,150.833,149.695,148.514,147.344,146.209,145.143,144.191,143.18,142.144,141.174,140.205,139.244,138.219,137.226,136.367,135.458,134.495,133.561,132.596,131.651,130.679,129.794,128.989,128.12,127.253,126.353,125.46
37.995,39.451,41.079,42.874,44.881,47.181,50.039,52.627,54.355,56.293,58.602,60.838,62.911,64.85,66.65,68.368,69.856,71.225,72.795,74.534,76.325,78.275,80.528,82.958,85.291,87.156,88.438,89.722,91.575,93.894,96.519,99.251,102.209,105.5,108.856,112.587,116.433,120.142,124.114,127.97,131.314,134.596,137.087,138.786,141.684,146.213,151.595,156.383,159.888,162.745,165.786,169.442,173.333,176.673,179.16,181.189,183.195,184.961,186.722,188.705,189.554,189.59,189.88,189.425,188.668,188.722,188.562,188.635,189.767,191.407,193.399,194.589,195.732,197.782,199.784,199.539,196.667,191.661,185.579,181.497,180.073,180.31,181.203,181.967,182.274,182.322,182.272,182.448,182.796,183.07,183.196,183.309,183.244,182.978,182.573,181.872,180.959,179.822,178.368,176.845,175.375,173.938,172.615,171.384,170.21,169.061,168.078,167.214,166.253,165.351,164.522,163.659,162.749,161.812,160.901,159.974,158.941,157.961,157.15,156.333,155.435,154.579,153.795,152.88,151.842,150.77,149.637,148.462,147.289,146.151,145.086,144.135,143.121,142.087,141.118,140.15,139.19,138.163,137.172,136.315,135.406,134.441,133.506,132.541,131.596,130.625,129.742,128.938,128.071,127.204,126.303
36.194,37.537,39.003,40.639,42.444,44.459,46.766,49.626,52.231,54.004,55.986,58.306,60.525,62.581,64.499,66.274,67.969,69.439,70.788,72.334,74.068,75.889,77.88,80.165,82.282,84.2,85.74,87.018,88.561,90.456,92.829,95.465,98.236,101.406,104.909,108.337,112.037,115.847,119.575,123.54,127.394,130.672,133.953,136.5,138.383,141.483,146.005,151.389,156.19,159.702,162.545,165.578,169.248,173.147,176.499,178.978,181.014,183.047,184.814,186.573,188.563,189.426,189.47,189.757,189.294,188.524,188.589,188.435,188.479,189.596,191.277,193.299,194.502,195.668,197.702,199.688,199.445,196.575,191.571,185.493,181.412,179.99,180.23,181.124,181.889,182.198,182.244,182.192,182.372,182.719,182.992,183.12,183.234,183.172,182.906,182.502,181.8,180.886,179.749,178.298,176.775,175.306,173.871,172.551,171.318,170.142,168.994,168.012,167.15,166.188,165.283,164.452,163.591,162.685,161.749,160.836,159.91,158.879,157.9,157.09,156.272,155.375,154.521,153.736,152.819,151.783,150.717,149.588,148.411,147.236,146.098,145.034,144.081,143.068,142.034,141.066,140.099,139.137,138.113,137.124,136.267,135.356,134.389,133.454,132.49,131.547,130.576,129.694,128.891,128.024,127.157
