"1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
70.242,71.945,74.323,76.527,78.546,80.498,82.422,84.418,86.207,87.79,89.516,91.363,93.157,94.987,97.065,99.316,101.814,104.298,106.656,109.153,111.712,114.29,116.883,119.49,122.421,125.582,128.184,131.041,134.364,137.538,141.064,144.501,147.065,149.992,152.576,154.248,156.934,160.758,165.337,169.448,172.579,175.174,177.93,181.319,184.82,187.879,190.25,192.157,194.044,195.731,197.327,199.056,199.649,199.297,199.176,198.353,197.352,197.402,197.225,197.243,198.416,200.2,202.272,203.452,204.686,206.784,208.827,208.626,205.542,200.137,193.73,189.492,188.043,188.382,189.417,190.264,190.577,190.612,190.554,190.73,191.09,191.356,191.457,191.548,191.468,191.193,190.772,190.047,189.101,187.916,186.389,184.785,183.256,181.758,180.359,179.052,177.839,176.648,175.634,174.751,173.739,172.797,171.954,171.079,170.127,169.141,168.194,167.26,166.22,165.196,164.355,163.496,162.556,161.664,160.835,159.895,158.82,157.694,156.502,155.265,154.034,152.852,151.746,150.752,149.687,148.602,147.596,146.595,145.606,144.542,143.508,142.619,141.654,140.64,139.668,138.668,137.681,136.655,135.733,134.907,134.025,133.131,132.201,131.262,130.352,129.471,128.597,127.671,126.829,126.011,125.111
63.63,65.001,66.623,68.858,70.945,72.879,74.763,76.636,78.556,80.293,81.862,83.599,85.496,87.356,89.261,91.397,93.668,96.169,98.694,101.081,103.575,106.085,108.613,111.191,113.712,116.565,119.323,121.942,125.203,128.535,131.788,135.404,138.571,141.404,144.959,147.665,149.472,152.322,156.335,161.104,165.41,168.702,171.472,174.411,177.984,181.659,184.843,187.357,189.405,191.405,193.136,194.813,196.689,197.416,197.213,197.191,196.494,195.652,195.784,195.683,195.798,197.066,198.922,201.046,202.261,203.505,205.679,207.781,207.532,204.441,199.188,192.919,188.768,187.408,187.746,188.775,189.63,189.951,189.994,189.946,190.132,190.5,190.776,190.887,190.988,190.921,190.651,190.236,189.525,188.588,187.411,185.897,184.306,182.792,181.305,179.916,178.617,177.407,176.226,175.227,174.352,173.35,172.421,171.589,170.718,169.768,168.791,167.853,166.928,165.89,164.87,164.03,163.176,162.247,161.362,160.535,159.6,158.535,157.417,156.232,154.994,153.769,152.596,151.493,150.5,149.442,148.371,147.376,146.375,145.383,144.322,143.293,142.404,141.443,140.435,139.467,138.469,137.483,136.464,135.548,134.724,133.84,132.946,132.016,131.081,130.174,129.298,128.428,127.505,126.666,125.85
58.977,61.418,62.767,64.346,66.525,68.575,70.484,72.357,74.195,76.077,77.801,79.398,81.206,83.181,85.131,87.12,89.304,91.615,94.18,96.746,99.147,101.602,104.065,106.577,109.069,111.528,114.063,116.819,119.753,123.013,126.403,129.732,133.125,136.489,139.815,143.427,146.149,147.983,150.876,154.944,159.764,164.071,167.373,170.179,173.19,176.831,180.514,183.721,186.262,188.323,190.282,192.007,193.743,195.662,196.447,196.269,196.295,195.678,194.862,195.013,194.953,195.116,196.413,198.284,200.409,201.607,202.895,205.099,207.133,206.852,203.869,198.725,192.528,188.45,187.08,187.405,188.44,189.299,189.625,189.674,189.632,189.823,190.199,190.481,190.599,190.708,190.641,190.373,189.966,189.259,188.326,187.156,185.649,184.065,182.558,181.077,179.691,178.392,177.185,176.014,175.019,174.149,173.155,172.232,171.4,170.528,169.583,168.612,167.679,166.752,165.714,164.694,163.856,163.011,162.086,161.2,160.375,159.447,158.387,157.272,156.083,154.85,153.631,152.458,151.353,150.365,149.317,148.256,147.259,146.254,145.264,144.206,143.174,142.286,141.329,140.323,139.356,138.357,137.376,136.361,135.446,134.619,133.733,132.839,131.911,130.978,130.075,129.201,128.333,127.412,126.572
54.699,57.136,59.541,60.886,62.462,64.63,66.678,68.597,70.487,72.367,74.305,76.073,77.699,79.523,81.509,83.474,85.469,87.659,89.989,92.563,95.141,97.553,100.026,102.517,104.984,107.405,109.629,112.192,115.214,118.183,121.486,124.914,128.056,131.543,135.253,138.648,142.274,145.012,146.896,149.827,153.919,158.727,163.055,166.404,169.27,172.338,175.977,179.678,182.918,185.476,187.502,189.452,191.225,192.995,194.952,195.749,195.605,195.694,195.095,194.292,194.476,194.459,194.649,195.952,197.81,199.908,201.14,202.454,204.597,206.602,206.421,203.52,198.426,192.298,188.207,186.82,187.149,188.188,189.048,189.378,189.432,189.394,189.591,189.97,190.257,190.381,190.488,190.423,190.161,189.756,189.05,188.123,186.958,185.457,183.879,182.375,180.896,179.509,178.212,177.014,175.845,174.853,173.99,173.001,172.077,171.244,170.374,169.435,168.467,167.533,166.606,165.567,164.548,163.717,162.875,161.948,161.064,160.244,159.321,158.264,157.146,155.96,154.732,153.513,152.339,151.238,150.258,149.218,148.155,147.155,146.151,145.163,144.102,143.072,142.187,141.232,140.226,139.258,138.264,137.286,136.272,135.355,134.525,133.639,132.746,131.821,130.89,129.989,129.118,128.25,127.329
51.316,53.178,55.595,57.987,59.354,60.952,63.132,65.198,67.159,69.126,71.094,73.079,74.849,76.463,78.261,80.225,82.168,84.15,86.329,88.648,91.233,93.852,96.317,98.84,101.286,103.65,105.843,108.106,110.933,114.006,117.013,120.336,123.605,126.808,130.57,134.348,137.756,141.388,144.167,146.077,149.021,153.096,157.93,162.308,165.71,168.63,171.692,175.345,179.077,182.335,184.863,186.878,188.865,190.666,192.464,194.422,195.244,195.155,195.256,194.664,193.888,194.108,194.113,194.305,195.591,197.42,199.543,200.798,202.06,204.179,206.274,206.154,203.289,198.255,192.112,188.002,186.619,186.952,187.99,188.855,189.187,189.244,189.21,189.41,189.793,190.084,190.206,190.314,190.252,189.992,189.588,188.886,187.961,186.801,185.304,183.729,182.226,180.745,179.36,178.07,176.873,175.707,174.722,173.863,172.871,171.946,171.114,170.25,169.313,168.343,167.408,166.48,165.441,164.429,163.601,162.756,161.832,160.952,160.137,159.215,158.155,157.039,155.858,154.629,153.408,152.238,151.145,150.173,149.131,148.064,147.064,146.062,145.072,144.012,142.985,142.101,141.146,140.14,139.176,138.185,137.208,136.19,135.271,134.441,133.557,132.666,131.743,130.814,129.914,129.043,128.175
48.312,50.065,51.93,54.347,56.745,58.147,59.775,61.974,64.09,66.14,68.203,70.215,72.188,73.93,75.504,77.264,79.194,81.112,83.067,85.224,87.553,90.191,92.876,95.4,97.614,99.634,101.666,103.87,106.412,109.29,112.431,115.466,118.764,122.263,125.787,129.647,133.404,136.786,140.457,143.25,145.177,148.059,152.145,157.044,161.609,165.221,168.133,171.207,174.889,178.637,181.868,184.383,186.429,188.439,190.26,192.054,194.03,194.899,194.818,194.922,194.351,193.607,193.845,193.85,194.024,195.283,197.132,199.274,200.482,201.724,203.921,206.065,205.973,203.159,198.107,191.945,187.839,186.46,186.793,187.834,188.701,189.035,189.095,189.064,189.267,189.654,189.942,190.063,190.175,190.113,189.853,189.452,188.752,187.832,186.674,185.179,183.604,182.1,180.62,179.24,177.951,176.757,175.595,174.613,173.751,172.758,171.834,171.007,170.144,169.207,168.235,167.299,166.371,165.339,164.328,163.498,162.655,161.734,160.858,160.044,159.12,158.061,156.95,155.768,154.537,153.319,152.156,151.07,150.095,149.05,147.984,146.986,145.981,144.992,143.935,142.909,142.025,141.069,140.066,139.105,138.114,137.135,136.115,135.196,134.368,133.485,132.595,131.673,130.746,129.848,128.976
45.773,47.298,49.06,50.943,53.371,55.785,57.219,58.877,61.124,63.324,65.463,67.564,69.558,71.498,73.195,74.728,76.454,78.353,80.237,82.162,84.325,86.71,89.418,92.159,94.376,96.162,97.862,99.901,102.37,104.963,107.909,111.074,114.082,117.585,121.374,124.992,128.821,132.544,135.962,139.639,142.442,144.303,147.194,151.346,156.445,161.231,164.832,167.753,170.852,174.548,178.273,181.491,184.033,186.096,188.121,189.936,191.745,193.761,194.634,194.555,194.676,194.131,193.403,193.638,193.626,193.775,195.051,196.917,199.019,200.209,201.517,203.754,205.919,205.871,203.038,197.967,191.81,187.708,186.33,186.665,187.708,188.575,188.911,188.972,188.944,189.149,189.535,189.822,189.946,190.058,189.996,189.738,189.339,188.643,187.724,186.568,185.073,183.496,181.992,180.517,179.138,177.851,176.661,175.502,174.518,173.654,172.662,171.742,170.917,170.052,169.112,168.139,167.203,166.28,165.25,164.238,163.409,162.57,161.652,160.777,159.96,159.037,157.982,156.869,155.686,154.458,153.247,152.089,151.001,150.024,148.979,147.913,146.913,145.91,144.923,143.866,142.84,141.956,141.003,140.002,139.042,138.049,137.067,136.048,135.13,134.303,133.422,132.533,131.613,130.686,129.787
43.602,44.962,46.502,48.282,50.184,52.627,55.055,56.517,58.223,60.543,62.818,64.987,67.067,69.032,70.931,72.591,74.092,75.79,77.653,79.502,81.428,83.641,86.093,88.851,91.288,93.085,94.563,96.265,98.55,101.068,103.729,106.699,109.821,113.002,116.778,120.654,124.233,128.022,131.775,135.197,138.882,141.612,143.476,146.431,150.802,156.143,160.917,164.524,167.467,170.578,174.255,177.968,181.208,183.764,185.841,187.858,189.684,191.527,193.547,194.42,194.354,194.495,193.964,193.234,193.454,193.42,193.584,194.875,196.706,198.791,200.036,201.377,203.633,205.837,205.77,202.918,197.851,191.696,187.596,186.22,186.556,187.6,188.469,188.807,188.87,188.845,189.048,189.431,189.722,189.845,189.957,189.897,189.641,189.244,188.549,187.631,186.475,184.978,183.401,181.901,180.428,179.05,177.766,176.578,175.418,174.431,173.569,172.58,171.661,170.833,169.968,169.026,168.054,167.123,166.202,165.169,164.157,163.332,162.495,161.578,160.701,159.886,158.965,157.91,156.796,155.614,154.393,153.186,152.028,150.936,149.959,148.916,147.849,146.849,145.846,144.861,143.804,142.778,141.897,140.946,139.946,138.982,137.988,137.006,135.988,135.07,134.245,133.365,132.478,131.559,130.631
41.653,42.963,44.339,45.895,47.691,49.61,52.064,54.504,56.005,57.775,60.154,62.45,64.6,66.656,68.59,70.457,72.088,73.567,75.233,77.06,78.903,80.871,83.141,85.636,88.091,90.113,91.614,93.088,95.016,97.347,99.931,102.619,105.533,108.806,112.251,116.108,119.936,123.468,127.283,131.041,134.473,138.076,140.799,142.726,145.919,150.554,155.881,160.66,164.285,167.237,170.333,174,177.73,180.982,183.549,185.617,187.643,189.5,191.345,193.364,194.248,194.199,194.351,193.818,193.076,193.278,193.256,193.434,194.696,196.511,198.642,199.916,201.274,203.563,205.749,205.663,202.813,197.748,191.595,187.498,186.124,186.461,187.506,188.375,188.715,188.781,188.754,188.956,189.341,189.631,189.755,189.868,189.809,189.554,189.159,188.465,187.547,186.389,184.892,183.32,181.82,180.347,178.974,177.691,176.502,175.339,174.354,173.494,172.506,171.586,170.757,169.889,168.949,167.981,167.051,166.127,165.096,164.088,163.264,162.429,161.509,160.632,159.821,158.899,157.842,156.731,155.555,154.338,153.13,151.968,150.877,149.901,148.856,147.789,146.791,145.791,144.804,143.748,142.723,141.844,140.893,139.891,138.926,137.931,136.951,135.933,135.017,134.193,133.314,132.428,131.508
39.904,41.153,42.476,43.865,45.435,47.245,49.175,51.636,54.097,55.648,57.464,59.855,62.133,64.266,66.302,68.213,70.057,71.669,73.123,74.754,76.571,78.445,80.458,82.763,84.953,86.996,88.735,90.222,91.9,93.871,96.269,98.882,101.513,104.567,108.093,111.614,115.415,119.189,122.746,126.566,130.335,133.682,137.27,140.052,142.232,145.705,150.327,155.657,160.448,164.082,167.019,170.107,173.79,177.53,180.791,183.351,185.425,187.478,189.338,191.183,193.209,194.107,194.067,194.219,193.675,192.918,193.131,193.122,193.275,194.522,196.377,198.532,199.822,201.208,203.48,205.648,205.564,202.716,197.652,191.502,187.407,186.034,186.373,187.419,188.291,188.632,188.696,188.667,188.872,189.257,189.547,189.671,189.785,189.728,189.476,189.08,188.387,187.466,186.309,184.815,183.244,181.745,180.275,178.903,177.619,176.428,175.267,174.284,173.425,172.436,171.514,170.684,169.817,168.88,167.913,166.982,166.06,165.03,164.024,163.202,162.363,161.446,160.572,159.758,158.837,157.781,156.674,155.504,154.285,153.075,151.913,150.823,149.845,148.8,147.735,146.738,145.738,144.751,143.696,142.674,141.795,140.843,139.839,138.874,137.88,136.9,135.884,134.969,134.146,133.268,132.381
