"Sex","year","age","px"
"Male",1950,0,0.820621
"Male",1950,1,0.92826342
"Male",1950,2,0.96560065
"Male",1950,3,0.98035723
"Male",1950,4,0.98754044
"Male",1950,5,0.99213385
"Male",1950,6,0.99497416
"Male",1950,7,0.99649427
"Male",1950,8,0.99712703
"Male",1950,9,0.99730524
"Male",1950,10,0.99747151
"Male",1950,11,0.99741434
"Male",1950,12,0.99719156
"Male",1950,13,0.99684252
"Male",1950,14,0.9964193
"Male",1950,15,0.99600164
"Male",1950,16,0.99562821
"Male",1950,17,0.99529433
"Male",1950,18,0.99498586
"Male",1950,19,0.99468163
"Male",1950,20,0.9943564
"Male",1950,21,0.99400822
"Male",1950,22,0.99365925
"Male",1950,23,0.9933366
"Male",1950,24,0.99307177
"Male",1950,25,0.99289833
"Male",1950,26,0.99281595
"Male",1950,27,0.99278678
"Male",1950,28,0.99276894
"Male",1950,29,0.99271963
"Male",1950,30,0.99259526
"Male",1950,31,0.99237716
"Male",1950,32,0.99208169
"Male",1950,33,0.99172885
"Male",1950,34,0.99134184
"Male",1950,35,0.99094829
"Male",1950,36,0.99056656
"Male",1950,37,0.99019228
"Male",1950,38,0.98981741
"Male",1950,39,0.98943247
"Male",1950,40,0.98902643
"Male",1950,41,0.98858936
"Male",1950,42,0.98811618
"Male",1950,43,0.98760207
"Male",1950,44,0.98704157
"Male",1950,45,0.98642851
"Male",1950,46,0.98575692
"Male",1950,47,0.98502337
"Male",1950,48,0.98422487
"Male",1950,49,0.98335834
"Male",1950,50,0.98242075
"Male",1950,51,0.98140852
"Male",1950,52,0.98031539
"Male",1950,53,0.97913368
"Male",1950,54,0.97785505
"Male",1950,55,0.97647039
"Male",1950,56,0.97496892
"Male",1950,57,0.97333424
"Male",1950,58,0.97154574
"Male",1950,59,0.96957926
"Male",1950,60,0.96740663
"Male",1950,61,0.96499832
"Male",1950,62,0.96234832
"Male",1950,63,0.95946723
"Male",1950,64,0.95637396
"Male",1950,65,0.95309755
"Male",1950,66,0.94967232
"Male",1950,67,0.94607225
"Male",1950,68,0.94221919
"Male",1950,69,0.93801419
"Male",1950,70,0.93333422
"Male",1950,71,0.92803313
"Male",1950,72,0.9220389
"Male",1950,73,0.91536219
"Male",1950,74,0.9080375
"Male",1950,75,0.90012833
"Male",1950,76,0.89173027
"Male",1950,77,0.88288825
"Male",1950,78,0.873567
"Male",1950,79,0.86371901
"Male",1950,80,0.85328709
"Male",1950,81,0.84220205
"Male",1950,82,0.83036386
"Male",1950,83,0.817628
"Male",1950,84,0.80381965
"Male",1950,85,0.78873176
"Male",1950,86,0.77212164
"Male",1950,87,0.75385727
"Male",1950,88,0.73407751
"Male",1950,89,0.7130211
"Male",1950,90,0.69101503
"Male",1950,91,0.66847948
"Male",1950,92,0.64597509
"Male",1950,93,0.62426942
"Male",1950,94,0.60424238
"Male",1950,95,0.58501209
"Male",1950,96,0.56523985
"Male",1950,97,0.5462221
"Male",1950,98,0.52805847
"Male",1950,99,0.51082846
"Male",1950,100,0
"Male",1951,0,0.82340992
"Male",1951,1,0.9309625
"Male",1951,2,0.96695597
"Male",1951,3,0.980987
"Male",1951,4,0.98781563
"Male",1951,5,0.99221966
"Male",1951,6,0.99496925
"Male",1951,7,0.99646536
"Male",1951,8,0.99711212
"Male",1951,9,0.99731377
"Male",1951,10,0.99748048
"Male",1951,11,0.99742441
"Male",1951,12,0.9972021
"Male",1951,13,0.99685214
"Male",1951,14,0.99642676
"Male",1951,15,0.99600654
"Male",1951,16,0.99563116
"Male",1951,17,0.99529671
"Male",1951,18,0.99498921
"Male",1951,19,0.99468699
"Male",1951,20,0.9943643
"Male",1951,21,0.99401873
"Male",1951,22,0.99367192
"Male",1951,23,0.99335091
"Male",1951,24,0.99308712
"Male",1951,25,0.99291358
"Male",1951,26,0.99282991
"Male",1951,27,0.99279879
"Male",1951,28,0.99277893
"Male",1951,29,0.99272823
"Male",1951,30,0.99260381
"Male",1951,31,0.99238728
"Male",1951,32,0.99209462
"Male",1951,33,0.99174536
"Male",1951,34,0.99136213
"Male",1951,35,0.99097191
"Male",1951,36,0.99059266
"Male",1951,37,0.99022025
"Male",1951,38,0.98984704
"Male",1951,39,0.98946389
"Male",1951,40,0.98906016
"Male",1951,41,0.98862611
"Male",1951,42,0.98815646
"Male",1951,43,0.98764601
"Male",1951,44,0.98708906
"Male",1951,45,0.98647921
"Male",1951,46,0.98581034
"Male",1951,47,0.98507933
"Male",1951,48,0.98428365
"Male",1951,49,0.98342051
"Male",1951,50,0.98248701
"Male",1951,51,0.9814797
"Male",1951,52,0.98039199
"Male",1951,53,0.97921555
"Male",1951,54,0.97794163
"Male",1951,55,0.97656116
"Male",1951,56,0.97506333
"Male",1951,57,0.97343215
"Male",1951,58,0.9716467
"Male",1951,59,0.9696829
"Male",1951,60,0.96751382
"Male",1951,61,0.96511125
"Male",1951,62,0.96246968
"Male",1951,63,0.95959754
"Male",1951,64,0.95651228
"Male",1951,65,0.95324365
"Male",1951,66,0.94982646
"Male",1951,67,0.94623663
"Male",1951,68,0.94239638
"Male",1951,69,0.93820585
"Male",1951,70,0.93354322
"Male",1951,71,0.9282638
"Male",1951,72,0.92229553
"Male",1951,73,0.91565836
"Male",1951,74,0.90838843
"Male",1951,75,0.90053614
"Male",1951,76,0.89218384
"Male",1951,77,0.88336419
"Male",1951,78,0.87404271
"Male",1951,79,0.86418087
"Male",1951,80,0.85372243
"Male",1951,81,0.84259899
"Male",1951,82,0.83071593
"Male",1951,83,0.81793943
"Male",1951,84,0.80410778
"Male",1951,85,0.78903255
"Male",1951,86,0.77249399
"Male",1951,87,0.7543771
"Male",1951,88,0.73481671
"Male",1951,89,0.71404553
"Male",1951,90,0.69238471
"Male",1951,91,0.67024241
"Male",1951,92,0.64815892
"Male",1951,93,0.6268657
"Male",1951,94,0.60719569
"Male",1951,95,0.58804374
"Male",1951,96,0.56846509
"Male",1951,97,0.54959444
"Male",1951,98,0.53153609
"Male",1951,99,0.51437523
"Male",1951,100,0
"Male",1952,0,0.82633982
"Male",1952,1,0.93369081
"Male",1952,2,0.96835311
"Male",1952,3,0.98167321
"Male",1952,4,0.98814758
"Male",1952,5,0.99235627
"Male",1952,6,0.9950079
"Male",1952,7,0.99647375
"Male",1952,8,0.9971292
"Male",1952,9,0.99734964
"Male",1952,10,0.99751464
"Male",1952,11,0.99745832
"Male",1952,12,0.99723615
"Male",1952,13,0.99688627
"Male",1952,14,0.99646107
"Male",1952,15,0.99604138
"Male",1952,16,0.99566742
"Male",1952,17,0.99533556
"Male",1952,18,0.99503205
"Male",1952,19,0.99473503
"Male",1952,20,0.99441815
"Male",1952,21,0.99407838
"Male",1952,22,0.99373671
"Male",1952,23,0.99341975
"Male",1952,24,0.99315878
"Male",1952,25,0.99298651
"Male",1952,26,0.99290273
"Male",1952,27,0.99287084
"Male",1952,28,0.9928502
"Male",1952,29,0.99279928
"Male",1952,30,0.99267592
"Male",1952,31,0.99246203
"Male",1952,32,0.99217326
"Male",1952,33,0.99182865
"Male",1952,34,0.99145026
"Male",1952,35,0.99106441
"Male",1952,36,0.99068866
"Male",1952,37,0.99031908
"Male",1952,38,0.9899484
"Male",1952,39,0.98956786
"Male",1952,40,0.98916722
"Male",1952,41,0.98873703
"Male",1952,42,0.98827181
"Male",1952,43,0.98776615
"Male",1952,44,0.98721408
"Male",1952,45,0.98660886
"Male",1952,46,0.98594412
"Male",1952,47,0.9852169
"Male",1952,48,0.98442503
"Male",1952,49,0.98356606
"Male",1952,50,0.98263745
"Male",1952,51,0.98163606
"Male",1952,52,0.98055521
"Male",1952,53,0.97938627
"Male",1952,54,0.97812028
"Male",1952,55,0.97674788
"Male",1952,56,0.975258
"Male",1952,57,0.9736348
"Male",1952,58,0.97185736
"Male",1952,59,0.96990191
"Male",1952,60,0.9677424
"Male",1952,61,0.9653515
"Male",1952,62,0.96272379
"Male",1952,63,0.95986649
"Male",1952,64,0.95679576
"Male",1952,65,0.95354076
"Male",1952,66,0.95013557
"Male",1952,67,0.94655667
"Male",1952,68,0.9427271
"Male",1952,69,0.9385475
"Male",1952,70,0.93389749
"Male",1952,71,0.92863408
"Male",1952,72,0.92268546
"Male",1952,73,0.91607441
"Male",1952,74,0.90883679
"Male",1952,75,0.90101701
"Male",1952,76,0.89269113
"Male",1952,77,0.88388614
"Male",1952,78,0.87456694
"Male",1952,79,0.86469752
"Male",1952,80,0.85422135
"Male",1952,81,0.84306962
"Male",1952,82,0.83115186
"Male",1952,83,0.8183453
"Male",1952,84,0.80450199
"Male",1952,85,0.78945133
"Male",1952,86,0.77299563
"Male",1952,87,0.75503608
"Male",1952,88,0.73570406
"Male",1952,89,0.71522608
"Male",1952,90,0.69391549
"Male",1952,91,0.67216676
"Male",1952,92,0.6504987
"Male",1952,93,0.62960304
"Male",1952,94,0.61026766
"Male",1952,95,0.59106879
"Male",1952,96,0.5716707
"Male",1952,97,0.55294669
"Male",1952,98,0.53500342
"Male",1952,99,0.51792639
"Male",1952,100,0
"Male",1953,0,0.8289078
"Male",1953,1,0.93599197
"Male",1953,2,0.96945819
"Male",1953,3,0.98215349
"Male",1953,4,0.98832816
"Male",1953,5,0.99237992
"Male",1953,6,0.99495941
"Male",1953,7,0.99640902
"Male",1953,8,0.9970802
"Male",1953,9,0.99732471
"Male",1953,10,0.99749305
"Male",1953,11,0.99743979
"Male",1953,12,0.99721908
"Male",1953,13,0.99686824
"Male",1953,14,0.99644006
"Male",1953,15,0.99601646
"Male",1953,16,0.99563896
"Male",1953,17,0.99530506
"Male",1953,18,0.99500101
"Male",1953,19,0.99470419
"Male",1953,20,0.99438804
"Male",1953,21,0.99404926
"Male",1953,22,0.99370853
"Male",1953,23,0.99339208
"Male",1953,24,0.99313071
"Male",1953,25,0.99295673
"Male",1953,26,0.99286998
"Male",1953,27,0.99283451
"Male",1953,28,0.9928103
"Male",1953,29,0.99275648
"Male",1953,30,0.99263156
"Male",1953,31,0.99241773
"Male",1953,32,0.99213028
"Male",1953,33,0.99178779
"Male",1953,34,0.99141176
"Male",1953,35,0.99102782
"Male",1953,36,0.99065313
"Male",1953,37,0.99028398
"Male",1953,38,0.98991352
"Male",1953,39,0.98953338
"Male",1953,40,0.98913363
"Male",1953,41,0.98870496
"Male",1953,42,0.98824164
"Male",1953,43,0.98773783
"Male",1953,44,0.98718734
"Male",1953,45,0.98658332
"Male",1953,46,0.98591935
"Male",1953,47,0.98519283
"Male",1953,48,0.98440219
"Male",1953,49,0.9835452
"Male",1953,50,0.98261931
"Male",1953,51,0.98162135
"Male",1953,52,0.98054417
