X1950,X1951,X1952,X1953,X1954,X1955,X1956,X1957,X1958,X1959,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023,X2024,X2025,X2026,X2027,X2028,X2029,X2030,X2031,X2032,X2033,X2034,X2035,X2036,X2037,X2038,X2039,X2040,X2041,X2042,X2043,X2044,X2045,X2046,X2047,X2048,X2049,X2050,X2051,X2052,X2053,X2054,X2055,X2056,X2057,X2058,X2059,X2060,X2061,X2062,X2063,X2064,X2065,X2066,X2067,X2068,X2069,X2070,X2071,X2072,X2073,X2074,X2075,X2076,X2077,X2078,X2079,X2080,X2081,X2082,X2083,X2084,X2085,X2086,X2087,X2088,X2089,X2090,X2091,X2092,X2093,X2094,X2095,X2096,X2097,X2098,X2099,X2100
6746.109,6942.505,7137.658,7341.721,7544.792,7725.829,7883.011,8033.28,8166.007,8294.184,8456.102,8634.857,8807.677,8983.682,9161.29,9289.965,9384.085,9504.858,9660.683,9809.916,9952.811,10148.336,10348.787,10543.371,10750.038,10904.282,11087.884,11265.276,11393.728,11607.126,11910.353,12193.488,12401.647,12611.054,12851.691,13051.006,13250.552,13397.467,13470.692,13558.747,13614.962,13692.142,13782.031,13841.94,13924.978,14028.639,14095.371,14139.145,14190.227,14243.078,14359.355,14507.548,14517.922,14404.783,14288.405,14126.421,13917.541,13744.933,13650.874,13656.565,13614.871,13500.136,13391.524,13227.546,12893.298,12693.702,12745.276,12580.258,12432.193,12345.327,12061.998,11862.039,11807.269,11779.435,11749.953,11706.673,11655.416,11604.879,11544.243,11484.816,11432.189,11371.558,11294.188,11213.457,11136.056,11056.149,10967.772,10869.032,10762.109,10656.023,10562.288,10466.637,10361.36,10258.76,10164.062,10070.984,9980.47,9892.338,9806.756,9733.272,9666.707,9603.294,9538.622,9475.997,9412.86,9354.166,9309.415,9263.762,9210.28,9153.807,9098.829,9038.138,8979.778,8922.513,8862.254,8800.485,8734.906,8666.783,8593.654,8517.405,8443.37,8377.567,8306.453,8232.004,8163.644,8092.771,8024.727,7964.557,7900.043,7833.204,7773.577,7712.755,7655.846,7604.355,7552.494,7502.721,7455.666,7413.056,7368.837,7322.982,7275.42,7227.644,7179.556,7123.73,7066.315,7011.703,6960.961,6912.966,6857.074,6803.949,6750.592
5651.382,6112.999,6307.796,6500.438,6703.582,6907.19,7087.919,7244.172,7394.886,7530.824,7660.325,7819.722,7993.185,8161.499,8332.97,8483.921,8589.635,8686.424,8827.579,9001.373,9153.423,9296.933,9488.987,9689.711,9890.341,10105.117,10268.073,10460.433,10646.494,10789.127,11012.9,11319.331,11607.972,11825.701,12044.034,12291.4,12498.954,12706.695,12863.987,12950.613,13051.465,13119.99,13208.794,13310.529,13381.402,13476.094,13595.495,13682.567,13748.183,13820.228,13893.766,14029.297,14193.578,14222.743,14133.068,14036.29,13894.406,13705.075,13548.239,13472.671,13495.545,13467.582,13365.673,13269.398,13116.935,12792.944,12604.192,12664.265,12504.581,12360.819,12281.401,12006.27,11806.934,11753.962,11728.677,11700.262,11659.59,11610.129,11561.109,11501.895,11443.717,11392.156,11332.792,11256.649,11177.053,11100.816,11022.093,10934.705,10836.799,10730.926,10625.907,10533.262,10438.709,10334.254,10232.56,10138.954,10046.693,9956.842,9869.338,9784.349,9711.628,9645.747,9582.944,9519.046,9456.881,9394.16,9335.847,9291.509,9246.453,9193.478,9137.468,9082.67,9022.233,8964.42,8907.561,8847.479,8786.218,8721.139,8653.178,8580.341,8504.404,8430.663,8365.188,8294.426,8220.315,8152.164,8081.579,8013.832,7954.002,7889.789,7823.066,7763.686,7703.212,7646.458,7595.13,7543.379,7493.593,7446.949,7404.619,7360.381,7314.528,7266.992,7219.595,7171.654,7115.813,7058.692,7004.369,6953.854,6905.873,6850.074,6797.046
4926.97,5353.906,5804.179,6000.87,6197.551,6405.394,6611.283,6793.055,6952.142,7107.266,7246.369,7378.202,7537.555,7710.785,7879.274,8036.216,8173.372,8282.315,8395.329,8551.046,8728.933,8883.272,9028.78,9224.401,9431.656,9640.662,9861.138,10031.906,10230.692,10425.128,10577.323,10806.442,11117.512,11411.401,11635.079,11858.617,12110.459,12322.941,12535.763,12698.834,12792.21,12898.208,12972.283,13066.908,13172.601,13248.832,13349.731,13474.234,13566.53,13637.133,13714.11,13792.863,13931.333,14098.552,14134.138,14049.019,13957.326,13820.419,13634.321,13484.389,13415.842,13442.491,13417.647,13319.47,13226.414,13075.813,12756.157,12571.398,12631.442,12471.875,12331.65,12255.803,11978.869,11779.349,11727.055,11701.818,11675.243,11635.837,11587.395,11539.275,11480.796,11423.209,11372.396,11313.706,11238.16,11159.208,11083.629,11005.382,10918.329,10820.938,10715.602,10611.185,10519.145,10424.929,10320.915,10219.854,10126.654,10034.689,9945.12,9857.872,9773.319,9700.971,9635.4,9573.058,9509.357,9447.365,9384.786,9326.66,9282.671,9237.88,9185.14,9129.115,9074.368,9014.258,8956.652,8899.794,8840.015,8779.046,8713.956,8646.103,8573.399,8497.585,8424.008,8358.718,8288.135,8214.102,8146.098,8075.672,8008.134,7948.475,7884.266,7817.675,7758.516,7698.096,7641.407,7590.098,7538.262,7488.783,7442.328,7399.914,7355.613,7309.718,7262.467,7215.141,7167.121,7111.488,7054.575,7000.404,6949.851,6901.898,6846.136
4670.545,4795.809,5217.4,5661.053,5859.312,6058.563,6267.087,6472.109,6654.392,6815.708,6971.787,7111.572,7243.226,7402.096,7574.785,7735.658,7885.057,8022.725,8138.265,8257.459,8415.594,8593.385,8747.739,8895.608,9094.322,9305.776,9517.304,9740.814,9914.546,10117.524,10316.474,10471.595,10703.621,11017.216,11313.511,11539.771,11765.764,12019.874,12235.157,12450.942,12617.416,12713.572,12822.348,12899.851,12996.345,13104.74,13184.739,13288.542,13415.683,13510.385,13583.483,13663.219,13743.147,13882.772,14053.39,14090.686,14008.123,13918.835,13782.866,13601.171,13456.025,13389.729,13417.8,13394.888,13298.385,13205.724,13057.439,12740.401,12555.286,12614.441,12457.198,12319.494,12241.256,11963.645,11764.452,11711.968,11688.026,11662.222,11623.372,11575.415,11527.621,11469.364,11412.165,11361.666,11303.213,11227.967,11149.348,11073.945,10995.749,10908.908,10811.754,10706.733,10602.656,10510.713,10416.689,10313.058,10212.195,10119.104,10027.245,9937.763,9850.773,9766.435,9694.248,9628.981,9566.709,9503.065,9441.101,9378.597,9320.706,9276.871,9232.208,9179.371,9123.312,9068.785,9008.792,8951.119,8894.469,8834.89,8773.845,8708.791,8641.001,8568.353,8492.635,8419.177,8353.999,8283.441,8209.5,8141.598,8071.323,8003.904,7944.212,7880.087,7813.667,7754.525,7694.136,7637.439,7586.025,7534.445,7485.115,7438.561,7396.067,7351.707,7306.053,7258.846,7211.429,7163.58,7108.119,7051.328,6997.108,6946.565,6898.63
4498.761,4596.565,4722.501,5139.573,5579.739,5779.04,5978.107,6185.066,6389.382,6572.32,6733.464,6889.071,7027.768,7158.562,7316.405,7482.891,7637.512,7786.185,7926.936,8045.45,8165.995,8323.148,8499.566,8654.629,8804.256,9005.249,9217.522,9430.442,9654.728,9831.041,10036.701,10236.691,10393.929,10627.875,10942.642,11239.94,11467.634,11695.149,11950.89,12168.193,12386.164,12554.201,12652.403,12763.574,12842.409,12940.934,13052.094,13134.353,13240.201,13368.987,13465.48,13540.715,13621.24,13702.13,13844.551,14016.153,14055.243,13974.649,13886.041,13753.718,13576.173,13433.096,13368.178,13397.856,13376.3,13280.177,13189.47,13043.29,12726.128,12540.531,12601.512,12446.449,12306.797,12227.873,11950.371,11750.925,11699.635,11676.385,11651.067,11612.64,11564.966,11517.352,11459.433,11402.511,11352.211,11294.01,11219.056,11140.588,11065.22,10987.203,10900.564,10803.684,10698.967,10594.976,10503.199,10409.513,10306.058,10205.294,10112.296,10020.514,9931.266,9844.471,9760.281,9688.371,9623.167,9560.944,9497.326,9435.43,9373.139,9315.392,9271.674,9226.918,9174.049,9118.192,9063.769,9003.715,8946.233,8889.765,8830.117,8769.103,8704.106,8636.366,8563.806,8488.196,8414.844,8349.689,8279.214,8205.367,8137.604,8067.439,7999.991,7940.375,7876.408,7810.003,7750.89,7690.493,7633.702,7582.523,7531.079,7481.66,7435.033,7392.485,7348.346,7302.733,7255.443,7208.183,7160.49,7105.141,7048.305,6994.095,6943.569
4350.651,4453.458,4551.514,4676.767,5091.364,5529.524,5728.213,5925.658,6131.632,6335.88,6518.025,6678.319,6832.447,6969.888,7099.61,7252.138,7413.034,7566.433,7716.758,7858.884,7977.842,8097.133,8252.558,8428.618,8584.244,8735.342,8936.276,9148.879,9361.737,9587.107,9765.165,9971.028,10171.928,10330.734,10565.651,10880.713,11178.432,11407.057,11635.778,11892.764,12111.658,12330.524,12499.809,12599.942,12711.98,12792.491,12893.289,13006.159,13090.133,13197.348,13327.484,13425.676,13501.566,13582.907,13666.299,13809.623,13982.511,14023.126,13943.237,13857.817,13729.131,13553.595,13411.984,13348.718,13379.637,13358.471,13264.178,13175.362,13029.085,12711.775,12528.052,12590.829,12434.218,12294.124,12214.949,11937.106,11738.897,11688.287,11665.504,11640.587,11602.43,11554.936,11507.644,11449.997,11393.277,11343.219,11285.292,11210.49,11132.072,11056.883,10979.063,10892.685,10796.096,10691.472,10587.653,10496.198,10402.683,10299.334,10198.672,10105.757,10014.204,9925.147,9838.501,9754.58,9682.74,9617.593,9555.403,9491.856,9430.165,9368.017,9310.388,9266.593,9221.815,9169.138,9113.386,9058.914,8999.042,8941.735,8885.211,8825.598,8764.642,8699.697,8632.042,8559.588,8484.082,8410.757,8345.683,8275.3,8201.586,8133.928,8063.742,7996.37,7936.902,7872.953,7806.58,7747.463,7686.985,7630.413,7579.363,7527.84,7478.356,7431.684,7389.341,7345.241,7299.554,7252.41,7205.297,7157.708,7102.319,7045.494,6991.304
4229.264,4322.73,4425.404,4522.805,4647.95,5061.218,5497.259,5694.444,5891.01,6096.801,6300.113,6481.297,6640.194,6793.016,6929.347,7054.676,7202.474,7362.097,7516.555,7667.631,7809.681,7927.22,8044.914,8199.789,8375.733,8532.072,8682.932,8883.698,9095.733,9309.101,9535.201,9713.122,9919.329,10120.957,10280.632,10515.883,10830.948,11128.891,11358.312,11588.003,11845.998,12065.468,12285.052,12455.561,12556.333,12669.554,12751.919,12854.075,12968.182,13053.237,13161.538,13292.917,13391.508,13468.028,13551.414,13635.629,13780.064,13953.969,13994.969,13917.813,13835.471,13708.488,13534.317,13394.276,13332.235,13363.487,13343.861,13251.246,13162.363,13015.899,12700.35,12518.387,12579.746,12422.808,12282.338,12202.586,11925.934,11728.449,11678.284,11655.864,11631.183,11593.182,11545.979,11498.925,11441.461,11384.964,11335.152,11277.354,11202.595,11124.341,11049.328,10971.744,10885.628,10789.119,10684.652,10581.133,10489.835,10396.414,10293.16,10192.579,10099.877,10008.501,9919.582,9833.184,9749.334,9677.55,9612.435,9550.313,9486.955,9425.397,9363.361,9305.666,9261.852,9217.251,9164.671,9108.874,9054.572,8994.863,8937.504,8881.014,8821.456,8760.549,8695.684,8628.128,8555.769,8480.29,8407.042,8342.053,8271.792,8198.178,8130.501,8060.386,7993.153,7933.702,7869.782,7803.409,7744.217,7683.941,7627.489,7576.367,7524.787,7475.264,7428.779,7386.474,7342.306,7296.754,7249.745,7202.727,7155.103,7099.725,7042.919
4131.373,4211.23,4304.517,4406.505,4503.84,4629.228,5041.038,5474.86,5671.334,5867.827,6072.872,6275.353,6455.329,6613.16,6765.029,6897.63,7019.109,7165.949,7326.49,7481.596,7632.574,7773.251,7889.342,8006.645,8161.382,8337.644,8493.512,8644.199,8844.27,9056.478,9270.253,9495.751,9673.822,9880.406,10082.383,10242.447,10477.843,10792.898,11091.133,11321.244,11551.757,11809.996,12029.949,12250.299,12421.004,12522.68,12637.246,12720.662,12823.743,12938.53,13024.404,13133.657,13265.156,13364.106,13442.233,13526.198,13611.357,13756.604,13930.541,13973.617,13899.01,13818.015,13692.096,13519.272,13380.328,13318.638,13351.14,13332.866,13240.19,13151.103,13006.031,12692.065,12509.043,12570.01,12412.6,12271.53,12192.723,11916.753,11719.739,11669.903,11647.678,11623.113,11585.356,11538.355,11491.446,11434.17,11377.885,11328.173,11270.391,11195.766,11117.66,11042.85,10965.488,10879.428,10783.049,10678.846,10575.465,10484.243,10390.897,10287.71,10187.319,10094.772,10003.516,9914.82,9828.482,9744.68,9672.922,9607.864,9545.91,9482.671,9421.21,9359.111,9301.398,9257.742,9213.224,9160.6,9104.956,9050.798,8991.04,8933.71,8877.266,8817.751,8756.914,8692.135,8624.663,8552.327,8476.917,8403.746,8338.868,8268.696,8195.064,8127.45,8057.461,7990.243,7930.817,7866.896,7800.454,7741.448,7681.281,7624.762,7573.587,7521.968,7472.618,7426.167,7383.798,7339.754,7294.325,7247.404,7200.352,7152.736,7097.374
4055.636,4118.193,4197.953,4290.696,4392.63,4490.295,4615.474,5025.65,5458.259,5654.793,5850.815,6055.305,6256.856,6436.026,6593.203,6741.968,6871.39,6992.342,7140.248,7301.543,7456.742,7606.663,7746.12,7861.95,7979.313,8134.412,8310.157,8465.764,8615.926,8816.085,9028.522,9241.697,9467.04,9645.398,9852.165,10054.236,10214.549,10450.094,10765.298,11063.87,11294.603,11525.314,11783.792,12004.296,12224.603,12395.803,12498.515,12613.766,12697.852,12801.37,12916.639,13003.197,13112.427,13244.031,13344.157,13422.638,13507.275,13593.073,13738.261,13913.694,13958.696,13885.122,13804.896,13679.992,13508.052,13369.398,13308.783,13342.354,13323.93,13231.043,13143.081,12999.246,12684.406,12501.142,12561.463,12403.445,12263.242,12184.927,11909.387,11712.71,11663.04,11640.897,11616.526,11578.926,11532.035,11485.272,11428.169,11371.957,11322.237,11264.552,11190.042,11112.103,11037.478,10960.148,10874.187,10778.031,10673.94,10570.617,10479.451,10386.151,10283.127,10182.868,10090.421,9999.36,9910.709,9824.406,9740.621,9668.908,9603.998,9542.145,9478.987,9417.461,9355.338,9297.768,9254.182,9209.615,9157.126,9101.61,9047.4,8987.663,8930.371,8873.961,8814.504,8753.743,8689.038,8621.582,8549.306,8473.963,8400.891,8336.091,8265.898,8192.323,8124.822,8054.844,7987.648,7928.217,7864.229,7797.956,7739.048,7678.819,7622.249,7571.036,7519.575,7470.254,7423.745,7381.488,7337.555,7292.205,7245.251,7198.206,7150.602
4000.324,4044.376,4106.965,4186.349,4279.137,4381.421,4479.052,4603.643,5012.956,5445.148,5641.407,5837.127,6040.975,6241.956,6420.701,6575.346,6721.484,6850.642,6972.846,7121.701,7283.309,7437.797,7586.823,7726.145,7842.155,7960.034,8114.804,8290.297,8445.422,8595.773,8796.142,9008.021,9221.055,9446.496,9625.033,9831.836,10033.979,10194.539,10430.353,10745.799,11044.742,11275.594,11506.508,11765.333,11985.72,12206.294,12378.169,12481.372,12597.025,12681.374,12785.187,12900.858,12987.28,13096.498,13228.941,13329.212,13408.153,13493.216,13578.897,13725.292,13902.164,13947.845,13874.822,13795.342,13671.078,13499.328,13361.578,13301.878,13335.24,13316.549,13224.596,13137.644,12992.958,12677.923,12494.084,12553.721,12396.472,12256.717,12178.69,11903.457,11706.959,11657.352,11635.367,11611.116,11573.594,11526.817,11480.191,11423.138,11366.903,11317.252,11259.651,11185.277,11107.495,11032.882,10955.626,10869.853,10773.783,10669.734,10566.454,10475.317,10382.154,10279.242,10179.067,10086.79,9995.761,9907.135,9820.841,9737.092,9665.51,9600.685,9538.9,9475.676,9414.121,9352.124,9294.615,9250.979,9206.531,9154.153,9098.585,9044.388,8984.683,8927.418,8871.058,8811.666,8750.969,8686.274,8618.87,8546.651,8471.397,8398.396,8333.572,8263.428,8189.954,8122.461,8052.501,7985.298,7925.804,7861.97,7795.787,7736.818,7676.54,7619.935,7568.865,7517.431,7468.054,7421.647,7379.491,7335.63,7290.248,7243.299,7196.265
